Kennziffer,Raumeinheit,Aggregat,Stimmenanteile CDU/CSU,Stimmenanteile SPD,Stimmenanteile Gruene,Stimmenanteile FDP,Stimmenanteile Die Linke,Stimmenanteile Sonstige Parteien
,,,2013,2013,2013,2013,2013,2013
01,Schleswig-Holstein,Land,39.2,31.5,9.4,5.6,5.2,9.0
02,Hamburg,Land,32.1,32.4,12.7,4.8,8.8,9.2
03,Niedersachsen,Land,41.1,33.1,8.8,4.2,5.0,7.8
04,Bremen,Land,29.3,35.6,12.1,3.4,10.1,9.5
05,Nordrhein-Westfalen,Land,39.8,31.9,8.0,5.2,6.1,9.0
06,Hessen,Land,39.2,28.8,9.9,5.6,6.0,10.5
07,Rheinland-Pfalz,Land,43.3,27.5,7.6,5.5,5.4,10.6
08,Baden-Wuerttemberg,Land,45.7,20.6,11.0,6.2,4.8,11.7
09,Bayern,Land,49.3,20.0,8.4,5.1,3.8,13.5
10,Saarland,Land,37.8,31.0,5.7,3.8,10.0,11.7
11,Berlin,Land,28.5,24.6,12.3,3.6,18.5,12.6
12,Brandenburg,Land,34.8,23.1,4.7,2.5,22.4,12.4
13,Mecklenburg-Vorpommern,Land,42.5,17.8,4.3,2.2,21.5,11.6
14,Sachsen,Land,42.6,14.6,4.9,3.1,20.0,14.8
15,Sachsen-Anhalt,Land,41.2,18.2,4.0,2.6,23.9,10.0
16,Thueringen,Land,38.8,16.1,4.9,2.6,23.4,14.2
