Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,18-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,17342.47194,16441.79064,16585.19553,17926.57284,19081.35166,19356.20339,20620.70063,20670.65566,20434.29944,20834.5102,22567.82492,23302.83199,24014.94427,25921.02605,27546.89939,24631.43486,24271.94042,25324.72036,,,,,,
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,274.8808587,266.4930418,,,,,,,,,,,,,,,,,,,,117.4096908,187.845095,198.7285436,219.1413528,250.2941299,272.563077,369.835796,373.3611163,445.8932979,553.3002894,603.5370231,669.0090509,638.6125432,629.3452504,569.5779229,561.7787463,585.8500638
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,664.1175602,600.4087655,579.2520009,582.4201265,596.6024672,711.9927001,647.5633537,720.5989385,761.6184577,862.5090577,922.55017,844.6911343,640.6222979,430.3815953,320.657792,388.1667663,512.6209659,506.8849522,419.6398453,385.7688535,555.2969419,526.168743,711.1817892,779.468317,1041.087109,1443.991924,2062.415212,2878.837305,3868.579014,3347.8449,3531.416878,4299.008136,4539.467689,4804.633826,4707.578098,3683.552607,3308.772828,4170.31228
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,662.5200523,662.9147926,719.1572957,699.3842921,676.5667325,723.4096102,639.4638993,348.7113178,218.4921659,380.5273711,619.0651634,760.5593758,1046.358511,749.584649,865.3021618,1098.425463,1175.788981,1326.970339,1453.642777,1890.681557,2416.588235,2709.142931,3005.012903,3603.013685,4370.539647,4114.136545,4094.358832,4437.178068,4247.614308,4413.081697,4578.666728,3952.830781,4131.872341,4537.862492
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,12377.41165,10372.23283,9610.266308,8022.654781,7728.906695,7774.393829,10361.81598,12616.16757,14304.35696,15166.43785,18878.50597,19532.54015,20547.71179,16516.47103,16234.80901,18461.06486,19017.17459,18353.05972,18894.5215,19261.7105,21936.5301,22228.84649,24741.49357,32776.44227,38503.47961,41282.02012,43748.77216,48582.80846,47785.65909,43339.37987,39736.35406,41098.76694,38391.08087,40619.7113,42294.99473,36038.2676,37231.81567,39146.54884
Arab World,ARB,GDP per capita (current US$),NY.GDP.PCAP.CD,2040.396013,2037.300791,1837.087828,1669.550456,1640.870234,1571.561422,1451.271809,1525.229081,1457.979269,1486.363103,1987.839701,1904.616034,2004.009905,1974.275775,1969.702345,2052.143033,2215.934915,2299.151057,2169.789213,2313.789971,2588.742903,2495.366312,2462.791442,2721.615721,3117.660806,3745.790931,4336.718583,4937.598216,6115.243747,5158.250506,5917.245724,6854.844526,7463.399723,7508.573301,7452.814677,6413.377161,6151.180927,6251.141575
United Arab Emirates,ARE,GDP per capita (current US$),NY.GDP.PCAP.CD,41825.99546,44012.33307,39193.74097,34159.03735,31709.25433,29189.16779,23056.10453,23312.92953,21907.59798,23612.7452,27256.29094,26168.26662,25993.55801,25199.34958,25467.19222,26847.08005,28615.58214,29199.52461,26663.3087,28260.00502,33071.26869,31061.52935,31311.35936,33230.52318,36161.17061,39439.80197,42372.22166,42672.61323,45758.90554,33072.57517,35037.89267,40434.36635,42086.68995,43315.14149,44443.06151,39122.04971,38517.80039,40698.84934
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,2738.284723,2756.396981,2907.757627,3530.131783,2643.369398,2909.51661,3595.085898,3546.71882,3969.327412,2375.339103,4318.7747,5715.504397,6798.026763,6940.350358,7449.48039,7373.428246,7683.574065,8172.664323,8248.761989,7736.369623,7669.273916,7170.694674,2579.193168,3330.437006,4251.574348,5076.883829,5878.761027,7193.61764,8953.359275,8161.306966,10276.2605,12726.90836,12969.70712,12976.63642,12245.25645,13698.29344,12654.355,14401.97485
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,637.8557412,590.1222257,369.6333681,357.2043399,400.5160919,456.3758998,504.059514,523.2835691,609.1730254,597.4334817,622.7427477,694.4305119,783.2616099,930.1661567,1191.96192,1643.758543,2158.002909,3138.808703,4010.026997,2993.832531,3218.381655,3526.978143,3684.80481,3843.591213,3994.712355,3617.935746,3605.743117,3936.79832
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,8751.766529,8914.525433,8639.308855,8508.406915,8456.947997,8980.536414,9871.997194,12058.26382,10352.82276,10375.99422,11660.32953,11589.853,11598.75174,11865.96323,11834.74523,
