v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100,v101,v102,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,v117,v118,v119,v120,v121,v122,v123,v124,v125,v126,v127,v128,v129,v130,v131,v132,v133,v134,v135,v136,v137,v138,v139,v140,v141,v142
1950,115008,1,1,2,2,2,3,3,3,3,3,3,3,2,2,3,3,1,2,5,5,1,2,1,2,1,1,2,1,2,4,2,3,2,2,3,3,4,3,2,2,4,3,3,1,3,2,2,2,1,1,1,2,2,2,2,2,2,69,1,,7,5,,,,,,,,,,,,,2,2,,6,3,2,2,1,2,2,,43,4,2,1,10,,7,,4505,,2,12832,3,6416,2,1,1,1,11,,4103,11,,,,2,1,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
1950,115027,1,,2,2,2,3,4,3,2,2,2,2,2,2,2,2,2,2,4,4,2,2,3,3,2,2,3,2,2,4,3,2,3,3,4,3,4,4,2,2,3,3,3,2,3,2,3,2,2,2,2,3,2,2,2,3,2,46,1,,2,24,5301,,5,,,,3,2,,2,,3,2,2,,10,4,4,3,3,3,4,,44,6,2,1,10,,1,,7211,,3,43000,9,16000,4,1,1,1,10,,6000,10,,,,2,1,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,
1950,115028,1,,2,2,2,3,3,3,2,2,2,2,2,2,3,3,1,3,5,5,3,3,2,2,2,2,2,2,2,3,3,3,3,2,3,3,3,3,1,2,3,3,3,1,2,1,3,2,2,2,2,2,3,1,2,3,2,21,5,2,6,,6301,,6,,,,,2,,2,,5,2,2,,12,5,2,2,3,2,2,,10,4,4,2,,,,,,,3,5000,1,5000,1,1,2,2,14,,1303,10,,,,21,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,
1950,115034,1,1,2,2,2,4,4,4,2,2,2,2,2,3,3,2,1,2,4,4,3,4,4,2,2,4,1,2,4,4,3,2,2,3,2,2,4,4,2,1,3,2,4,1,3,3,4,3,2,3,3,3,4,2,3,2,2,65,1,,7,,8105,,8,,,,,2,,2,,5,2,2,,12,5,4,1,1,4,3,,43,5,2,1,10,,7,,8907,,2,15000,3,,,1,1,1,6,,1401,6,,,,2,1,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
1950,115044,1,1,2,2,3,3,3,3,4,4,4,4,1,1,2,1,,3,5,4,1,1,2,2,1,2,2,1,2,2,4,2,2,4,2,2,4,5,2,1,3,3,3,2,2,2,,,2,2,2,4,2,2,2,3,1,89,1,,,,,,,,,,,,,,,,2,2,,11,5,2,2,3,2,2,,49,6,4,1,,,7,,,,2,,,,,1,1,1,6,,4701,3,,,,2,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
1950,115047,1,2,2,2,2,4,4,4,4,4,4,4,1,1,1,1,2,2,5,5,3,2,2,2,2,2,3,2,2,4,2,2,2,2,4,2,4,3,1,1,2,2,5,2,2,3,3,2,2,2,2,2,3,,,2,2,27,1,,2,24,3401,,3,,,,3,2,,2,,,2,2,,13,5,4,1,3,6,95,,49,1,2,1,14,,1,,2607,,2,33560,7,15780,4,1,1,1,10,,3101,10,,,,2,1,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,
1950,115052,1,2,2,2,2,4,4,4,2,2,3,3,1,3,4,4,1,1,5,5,1,1,2,2,4,2,3,1,3,3,2,2,2,2,4,2,3,5,2,5,1,2,1,1,3,3,2,2,2,1,3,3,1,3,2,1,1,54,1,,,,,,,,,,,,,,,,,2,,10,4,2,2,1,2,2,,10,1,2,,,,,,,,1,,,,,1,3,3,14,,5500,3,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,115053,1,2,2,2,2,4,4,4,3,3,3,4,2,1,3,2,,3,4,5,3,3,3,3,2,1,3,2,2,2,2,3,3,3,3,2,5,4,,1,3,2,4,3,3,3,2,2,2,2,3,3,2,2,2,5,2,19,5,2,1,40,5103,,5,,,,3,2,,2,,3,,2,,12,5,,,,4,1,,44,6,4,6,,,,,,,,9000,2,9000,2,1,1,1,11,,7105,11,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,115071,1,1,1,2,2,4,4,4,3,3,4,4,2,2,2,2,2,2,5,5,2,3,3,2,1,2,3,2,3,4,2,1,1,1,2,2,2,4,2,2,2,3,4,2,3,2,3,2,1,1,1,2,3,2,2,3,2,73,2,2,7,,,,,,,,,,,,,,2,2,,6,3,2,2,2,2,2,,90,6,2,1,3,,,,,,2,6700,2,6700,2,1,1,1,3,,4601,3,,,,2,1,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,
1950,115085,1,2,1,1,1,3,3,2,1,1,1,1,2,2,3,2,1,2,3,4,2,2,2,4,3,2,2,2,3,4,2,2,2,2,4,3,4,2,1,3,3,3,1,1,3,3,3,2,2,2,2,2,3,2,2,1,2,60,1,,,,,,,,,,,,,,,,2,2,,8,4,2,2,2,2,2,,10,1,4,1,11,,1,,,,4,,,,,1,1,1,11,,4703,10,,,,3,1,,,,,,,,,,,,,,,,,,,,,6,1,1,,,,,
1950,115093,1,,1,1,1,3,4,3,3,3,4,4,2,2,2,2,,2,5,5,2,2,1,3,3,3,1,1,3,4,1,1,2,2,4,3,5,4,,1,3,2,3,2,2,2,1,1,2,2,2,3,2,2,2,2,1,40,1,,10,60,2805,,2,,,,,1,,2,,,2,1,10,16,6,3,4,2,3,4,,52,4,4,1,,,,,,,3,21000,5,,,1,1,1,3,,6505,3,,,,37,1,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,
1950,115101,1,2,2,2,2,3,3,2,2,2,2,2,3,3,3,3,1,2,3,5,2,2,2,2,4,2,5,1,4,2,3,3,4,2,5,2,3,2,1,3,2,4,2,1,3,2,2,2,2,2,2,2,2,2,2,3,2,24,1,1,3,20,5907,,5,,,,3,2,,1,1,4,2,2,,16,6,2,2,2,2,2,,90,6,4,2,14,,1,,1311,,2,5800,2,5800,2,1,1,1,10,,2503,11,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,115109,1,1,1,1,2,3,3,3,3,1,1,1,1,3,3,3,1,2,5,5,1,4,4,4,1,1,1,1,4,4,2,2,1,1,4,2,4,4,1,2,2,3,3,1,3,2,3,3,2,2,2,2,3,1,2,2,2,66,1,,1,50,1601,,1,,,,,1,96,2,,,2,2,,12,5,4,1,1,4,1,,44,1,6,1,10,,1,,1305,,2,56000,11,28000,6,1,1,1,3,,4103,3,,,,2,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
1950,115122,1,2,1,1,2,4,4,4,3,1,3,1,1,1,4,4,1,1,5,5,2,4,2,2,1,2,2,1,4,4,2,1,2,2,4,1,4,2,1,1,2,2,3,1,2,2,1,1,1,1,2,3,3,2,2,2,1,69,2,2,,,5303,,5,,,,3,2,,1,98,6,2,2,,9,4,4,1,3,4,1,,44,3,4,1,12,,7,,5303,,3,14000,3,14000,3,1,2,2,3,,7105,10,,,,2,1,,,,,,,,,,,,,,,,,,,,,3,1,1,,,,,
1950,115125,1,2,1,1,1,3,4,1,1,1,2,2,1,4,4,4,1,1,3,5,1,1,4,4,2,1,5,1,1,3,1,2,2,3,5,1,1,2,1,3,3,3,2,2,3,3,2,2,2,2,3,2,2,3,2,2,2,82,1,,7,39,3999,,3,,,,,2,,2,,6,2,2,,14,5,2,2,1,3,5,,90,5,4,1,12,,7,,5101,,2,8000,2,5000,1,1,1,1,,,,10,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
