applications;federalstate;year;month
20211;Baden-Wuerttemberg;2016;February
28795;Baden-Wuerttemberg;2016;March
38185;Baden-Wuerttemberg;2016;April
46100;Baden-Wuerttemberg;2016;May
57840;Baden-Wuerttemberg;2016;June
67069;Baden-Wuerttemberg;2016;July
74217;Baden-Wuerttemberg;2016;August
77637;Baden-Wuerttemberg;2016;September
16440;Bayern;2016;February
26571;Bayern;2016;March
36908;Bayern;2016;April
44863;Bayern;2016;May
55811;Bayern;2016;June
64585;Bayern;2016;July
71423;Bayern;2016;August
74844;Bayern;2016;September
14138;Berlin;2016;February
17434;Berlin;2016;March
18540;Berlin;2016;April
19584;Berlin;2016;May
20876;Berlin;2016;June
21912;Berlin;2016;July
23180;Berlin;2016;August
24263;Berlin;2016;September
5090;Brandenburg;2016;February
7846;Brandenburg;2016;March
11145;Brandenburg;2016;April
12996;Brandenburg;2016;May
14275;Brandenburg;2016;June
15198;Brandenburg;2016;July
15914;Brandenburg;2016;August
16519;Brandenburg;2016;September
1727;Bremen;2016;February
2880;Bremen;2016;March
4013;Bremen;2016;April
4989;Bremen;2016;May
6316;Bremen;2016;June
7309;Bremen;2016;July
7792;Bremen;2016;August
8106;Bremen;2016;September
3288;Hamburg;2016;February
5493;Hamburg;2016;March
7569;Hamburg;2016;April
9745;Hamburg;2016;May
12490;Hamburg;2016;June
15106;Hamburg;2016;July
15758;Hamburg;2016;August
16199;Hamburg;2016;September
4040;Hessen;2016;February
6670;Hessen;2016;March
10558;Hessen;2016;April
12749;Hessen;2016;May
17196;Hessen;2016;June
23770;Hessen;2016;July
37122;Hessen;2016;August
54638;Hessen;2016;September
3590;Mecklenburg-Vorpommern;2016;February
3974;Mecklenburg-Vorpommern;2016;March
4292;Mecklenburg-Vorpommern;2016;April
4661;Mecklenburg-Vorpommern;2016;May
4934;Mecklenburg-Vorpommern;2016;June
5400;Mecklenburg-Vorpommern;2016;July
5864;Mecklenburg-Vorpommern;2016;August
6216;Mecklenburg-Vorpommern;2016;September
9092;Niedersachsen;2016;February
15035;Niedersachsen;2016;March
21498;Niedersachsen;2016;April
29968;Niedersachsen;2016;May
41524;Niedersachsen;2016;June
52766;Niedersachsen;2016;July
68121;Niedersachsen;2016;August
75093;Niedersachsen;2016;September
20211;Nordrhein-Westfalen;2016;February
26089;Nordrhein-Westfalen;2016;March
38798;Nordrhein-Westfalen;2016;April
54629;Nordrhein-Westfalen;2016;May
77198;Nordrhein-Westfalen;2016;June
102659;Nordrhein-Westfalen;2016;July
138163;Nordrhein-Westfalen;2016;August
172511;Nordrhein-Westfalen;2016;September
3239;Rheinland-Pfalz;2016;February
5016;Rheinland-Pfalz;2016;March
7174;Rheinland-Pfalz;2016;April
9800;Rheinland-Pfalz;2016;May
14024;Rheinland-Pfalz;2016;June
17923;Rheinland-Pfalz;2016;July
24328;Rheinland-Pfalz;2016;August
30754;Rheinland-Pfalz;2016;September
3631;Saarland;2016;February
4545;Saarland;2016;March
4758;Saarland;2016;April
5124;Saarland;2016;May
5544;Saarland;2016;June
5742;Saarland;2016;July
5977;Saarland;2016;August
6175;Saarland;2016;September
5981;Sachsen;2016;February
9476;Sachsen;2016;March
12245;Sachsen;2016;April
15269;Sachsen;2016;May
17065;Sachsen;2016;June
18636;Sachsen;2016;July
20152;Sachsen;2016;August
21209;Sachsen;2016;September
2277;Sachsen-Anhalt;2016;February
4498;Sachsen-Anhalt;2016;March
7923;Sachsen-Anhalt;2016;April
10814;Sachsen-Anhalt;2016;May
14479;Sachsen-Anhalt;2016;June
16160;Sachsen-Anhalt;2016;July
17100;Sachsen-Anhalt;2016;August
17755;Sachsen-Anhalt;2016;September
3893;Schleswig-Holstein;2016;February
5874;Schleswig-Holstein;2016;March
7972;Schleswig-Holstein;2016;April
10796;Schleswig-Holstein;2016;May
16125;Schleswig-Holstein;2016;June
22022;Schleswig-Holstein;2016;July
26113;Schleswig-Holstein;2016;August
27202;Schleswig-Holstein;2016;September
4106;Thueringen;2016;February
6245;Thueringen;2016;March
8514;Thueringen;2016;April
10066;Thueringen;2016;May
11905;Thueringen;2016;June
12354;Thueringen;2016;July
12944;Thueringen;2016;August
13730;Thueringen;2016;September
