"u_teamid","belief1","belief2","belief3","belief4","belief5","belief6","belief7","topic1","topic2","topic3","topic4","topic5","topic6","topic7","topic8","topic9","stat1","stat2","stat3","stat4","stat5","stat6","stat7","pro_immigrant","Group.1","Hsup"
1,2,4,2,1,1,2,3,1,1,3,2,0,0,0,0,0,3,3,4,8,4,3,3,3,1,0
5,2,3,2,2,2,2,3,1,1,3,3,0,0,0,0,0,3,3,4,6,4,1,1,3,5,0
48,2,3,2,2,2,2,2,1,2,3,5,1,0,0,0,1,4,4,3,3,5,1,2,4,48,0
48,2,3,2,2,2,2,2,1,1,1,5,0,0,0,0,0,3,3,3,7,4,2,1,5,48,0
49,2,3,2,2,2,2,3,3,2,1,5,0,0,0,0,0,3,4,4,2,3,1,1,5,49,0
49,3,3,2,3,2,2,3,3,2,1,5,1,0,0,0,0,2,3,3,1,2,1,1,5,49,0
49,2,3,2,2,2,2,3,3,1,1,2,0,0,0,0,0,4,4,4,4,3,1,1,5,49,0
50,2,3,1,2,2,2,1,3,1,3,3,0,0,0,0,0,4,4,3,3,4,1,3,3,NA,NA
51,1,2,3,3,1,3,5,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,4,3,3,0,NA,NA
51,2,3,2,2,3,3,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,1,2,NA,NA
51,3,3,1,3,2,1,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,1,1,4,NA,NA
52,2,3,2,2,3,3,3,1,1,1,3,1,0,0,0,0,3,4,3,3,3,1,1,5,52,0.5
5,2,3,2,1,2,2,3,1,1,2,2,0,0,0,0,0,3,3,4,2,4,1,2,4,5,0
52,3,3,2,3,3,2,3,3,1,1,4,1,0,0,0,0,3,4,4,3,3,1,2,6,52,0.5
53,2,3,2,3,2,2,2,3,1,2,NA,1,0,0,0,0,NA,NA,3,1,3,2,3,3,NA,NA
54,2,3,2,2,2,2,2,1,1,3,2,1,0,0,0,0,4,4,3,1,5,3,3,4,54,0
54,3,3,2,3,3,2,3,3,1,3,4,1,0,0,0,0,4,4,4,2,4,3,1,5,54,0
54,2,4,2,2,2,3,2,2,1,2,5,1,0,0,0,1,4,4,3,1,4,1,1,5,54,0
55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,2,3,2,2,2,2,2,1,1,1,4,0,0,0,0,0,4,4,4,12,4,3,3,4,56,0.5
57,3,3,4,2,2,4,3,2,3,2,NA,0,0,0,0,0,NA,NA,3,1,5,1,3,3,NA,NA
57,2,2,2,2,4,2,3,1,2,2,NA,1,0,0,0,0,NA,NA,4,4,5,1,3,4,NA,NA
57,2,2,2,2,2,2,2,NA,NA,NA,NA,1,0,0,0,0,NA,NA,4,1,3,3,1,3,NA,NA
5,2,3,2,2,3,2,3,1,1,3,4,1,0,0,0,0,2,3,4,1,4,1,2,4,5,0
58,2,3,1,2,2,2,3,1,1,1,4,1,0,0,0,0,3,2,4,1,4,1,2,4,58,0.666666666666667
