iso_country,country,year,gdp_oecd,gdp_wb,gdp_twn,gni_wb,ginid_solt,ginim_dolt,gini_wb,gini_wid,top10_wid,mcp,migstock_wb,migstock_un,migstock_oecd,mignet_un,pop_wb,al_ethnic,dpi_tf,wdi_empprilo,wdi_unempilo,socx_oecd
32,Argentina,1980,.,2738.284723,.,.,0.380910949,0.41372513,40.8,.,.,.,6.834,.,.,-1.7,28105888,0.255,.,.,.,.
32,Argentina,1981,.,2756.396981,.,.,0.385286863,0.417488229,.,.,.,.,6.631,.,.,-1.2,28543364,0.255,.,.,.,.
32,Argentina,1982,.,2907.757627,.,.,0.388745051,0.419735157,.,.,.,.,6.431,.,.,-0.6,28993987,0.255,.,.,.,.
32,Argentina,1983,.,3530.131783,.,.,0.393774865,0.423633995,.,.,.,.,6.235,.,.,-0.1,29454738,0.255,.,.,.,.
32,Argentina,1984,.,2643.369398,.,.,0.398357689,0.427222022,.,.,.,.,6.044,.,.,0.4,29920904,0.255,0.5494953,.,.,.
32,Argentina,1985,.,2909.51661,.,.,0.402307777,0.43059817,.,.,.,.,5.859,.,.,1,30388783,0.255,0.5490279,.,.,.
32,Argentina,1986,.,3595.085898,.,.,0.4064413,0.433893504,42.8,.,.,.,5.685,.,.,1,30857244,0.255,0.5923731,.,.,.
32,Argentina,1987,.,3546.71882,.,.,0.411266709,0.436137779,45.3,.,.,.,5.517,.,.,1,31326473,0.255,0.6021398,.,.,.
32,Argentina,1988,.,3969.327412,.,.,0.41478054,0.440394742,.,.,.,.,5.353,.,.,1,31795517,0.255,0.6151069,.,.,.
32,Argentina,1989,.,2375.339103,.,.,0.41881163,0.445182565,.,.,.,.,5.195,.,.,1,32263561,0.255,0.6151069,.,.,.
32,Argentina,1990,.,4318.7747,.,6680,0.421967642,0.449359597,.,.,.,.,5.041,5.041039282,.,1,32729739,0.255,0.7142225,.,.,.
32,Argentina,1991,.,5715.504397,.,7780,0.424140629,0.451605207,46.8,.,.,.,4.937,4.944434499,.,0.8,33193918,0.255,0.7142225,54.175999,5.8000002,.
