"Jobs","Unemp","IncDiff","OldAge","House","Health","Scale","Stock","Flow","ChangeFlow","main_IV_as_control","mlm_any","hybrid_mlm","level_cyear","level_country","level_year","country_dummies_only","year_dummies_only","year_as_count","ologit","lpm","listwise","multimpute","ols","mlogit","ml_glm","bayes","L2boots","weights","pseudo_pnl","stata","r","mplus","spss","mlwin","categorical","mmodel","unbalpanel","w1985","w1990","w1996","w2006","w2016","AU","AT","BE","BG","CA","CL","HR","CY","CZ","DK","FI","FR","DE","HU","IS","IN","IE","IL","IT","JP","KR","LV","LT","NT","NZ","NO","PH","PL","PT","RU","SK","SI","ES","SE","CH","UK","US","ZA","TW","TR","UY","VE","orig13","orig17","eeurope","allavailable","emigration_ivC","emplrate_ivC","socx_ivC","unemprate_ivC","gdp_ivC","unchange_ivC","poverty_ivC","fbunemprate_ivC","fbunempchange_ivC","fbeducrate_ivC","fbeducratechange_ivC","socxchg_ivC","gdpchange_ivC","ginin_ivC","mcp_ivC","regime_ivC","socialistdummy_ivC","targeting_ivC","socx_programspecific_ivC","conservatism_ivC","decomm_ivC","tradeunion10_ivC","subFB_ivC","socult_ivC","fract_ivC","antiimm_ivC","pop_ivC","age_iv","age2_iv","sex_iv","employed_iv","income_iv","occclass_iv","occstatus_iv","education_iv","married_iv","household_iv","reldenom_iv","relattend_iv","publice_iv","urban_iv","fb_iv","cuts_iv","taxes_iv","upol_iv","leftright_iv","trust_iv","efficacy_iv","fbXnet","netXcons","netXeduc","netXage","netXsex","netXunemp","netXinc","fbXeduc","fbXage","fbXsex","fbXunemp","fbXgini","fbXurban","fbXinc","squared_imm","fractXfb","fbXleftright","anynonlin","id","u_teamid","count","AME","lower","upper","error","z","p","DV","main_IV_type","main_IV_source","main_IV_source_file","main_IV_measurement","main_IV_time","main_IV_effect","package","inv_weight","additionalinfo","Hsupport","Hreject","Hnotest","Hmixed","Hsupport_stock","Hreject_stock","Hnotest_stock","Hsupport_net","Hreject_net","Hnotest_net","AME_Z","lower_Z","upper_Z","Hresult","Hsup","Hrej","Hno","HresultF","AME_sup_p05","AME_sup_p10","countries","iv_type","mator","software","indepv","twowayfe","cluster_any","mlm_re","mlm_fe","logit","dichotomize","dv_type","stat_cat","belief_cat","topic_cat","total_score_cat","BELIEF_HYPOTHESIS","PRO_IMMIGRANT","TOPIC_KNOWLEDGE","STATISTICS_SKILL","MODEL_SCORE"
"Jobs",NA,NA,NA,NA,NA,NA,"Stock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"listwise",NA,NA,NA,NA,NA,NA,NA,NA,"stata",NA,NA,NA,NA,NA,NA,NA,NA,NA,"w1996","w2006",NA,"AU",NA,NA,NA,"CA",NA,NA,NA,NA,NA,NA,"FR","DE",NA,NA,NA,"IE",NA,NA,"JP",NA,NA,NA,NA,"NZ","NO",NA,NA,NA,NA,NA,NA,"ES","SE","CH","UK","US",NA,NA,NA,NA,NA,"orig13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"age_iv","age2_iv","sex_iv","employed_iv","income_iv",NA,NA,"education_iv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"t0m1",0,1,-0.01117,-0.01556,-0.00679,0.00439,-4.98661,1e-05,"Jobs","Stock","WDI","bradyfinnigan2014countrydata.dta","Immigrant, foreign-born","current","Total","logit",48,"Original analysis by Brady & Finnigan (2014), not part of the CRI",0,1,0,0,NA,NA,NA,NA,NA,NA,-0.01117,-0.01556,-0.00679,"Reject",0,1,0,"Reject",1,1,13,"Stock","logit","Stata","None","Yes","Yes","No","No","Yes","dichotomous","Jobs",NA,NA,NA,"Low",NA,NA,NA,NA,NA
NA,NA,NA,"OldAge",NA,NA,NA,"Stock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"listwise",NA,NA,NA,NA,NA,NA,NA,NA,"stata",NA,NA,NA,NA,NA,NA,NA,NA,NA,"w1996","w2006",NA,"AU",NA,NA,NA,"CA",NA,NA,NA,NA,NA,NA,"FR","DE",NA,NA,NA,"IE",NA,NA,"JP",NA,NA,NA,NA,"NZ","NO",NA,NA,NA,NA,NA,NA,"ES","SE","CH","UK","US",NA,NA,NA,NA,NA,"orig13",NA,NA,NA,NA,NA,"socx_ivC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"age_iv","age2_iv","sex_iv","employed_iv","income_iv",NA,NA,"education_iv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"t0m10",0,10,0.00368,0.00032,0.00704,0.00336,2.15205,0.03139,"OldAge","Stock","WDI","bradyfinnigan2014countrydata.dta","Immigrant, foreign-born","current","Total","logit",48,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,0.00368,0.00032,0.00704,"Reject",0,1,0,"Reject",0,0,13,"Stock","logit","Stata","Soc_Spending","Yes","Yes","No","No","Yes","dichotomous","OldAge",NA,NA,NA,"Low",NA,NA,NA,NA,NA
NA,NA,NA,NA,"House",NA,NA,"Stock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"listwise",NA,NA,NA,NA,NA,NA,NA,NA,"stata",NA,NA,NA,NA,NA,NA,NA,NA,NA,"w1996","w2006",NA,"AU",NA,NA,NA,"CA",NA,NA,NA,NA,NA,NA,"FR","DE",NA,NA,NA,"IE",NA,NA,"JP",NA,NA,NA,NA,"NZ","NO",NA,NA,NA,NA,NA,NA,"ES","SE","CH","UK","US",NA,NA,NA,NA,NA,"orig13",NA,NA,NA,NA,NA,"socx_ivC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"age_iv","age2_iv","sex_iv","employed_iv","income_iv",NA,NA,"education_iv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"t0m11",0,11,-0.00519,-0.01049,0.00011,0.0053,-1.92222,0.05458,"House","Stock","WDI","bradyfinnigan2014countrydata.dta","Immigrant, foreign-born","current","Total","logit",48,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,-0.00519,-0.01049,0.00011,"Reject",0,1,0,"Reject",0,1,13,"Stock","logit","Stata","Soc_Spending","Yes","Yes","No","No","Yes","dichotomous","House",NA,NA,NA,"Low",NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"Health",NA,"Stock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"listwise",NA,NA,NA,NA,NA,NA,NA,NA,"stata",NA,NA,NA,NA,NA,NA,NA,NA,NA,"w1996","w2006",NA,"AU",NA,NA,NA,"CA",NA,NA,NA,NA,NA,NA,"FR","DE",NA,NA,NA,"IE",NA,NA,"JP",NA,NA,NA,NA,"NZ","NO",NA,NA,NA,NA,NA,NA,"ES","SE","CH","UK","US",NA,NA,NA,NA,NA,"orig13",NA,NA,NA,NA,NA,"socx_ivC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"age_iv","age2_iv","sex_iv","employed_iv","income_iv",NA,NA,"education_iv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"t0m12",0,12,-0.00604,-0.00897,-0.00311,0.00293,-4.05369,5e-05,"Health","Stock","WDI","bradyfinnigan2014countrydata.dta","Immigrant, foreign-born","current","Total","logit",48,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,-0.00604,-0.00897,-0.00311,"Reject",0,1,0,"Reject",1,1,13,"Stock","logit","Stata","Soc_Spending","Yes","Yes","No","No","Yes","dichotomous","Health",NA,NA,NA,"Low",NA,NA,NA,NA,NA
"Jobs",NA,NA,NA,NA,NA,NA,"Stock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"listwise",NA,NA,NA,NA,NA,NA,NA,NA,"stata",NA,NA,NA,NA,NA,NA,NA,NA,NA,"w1996","w2006",NA,"AU",NA,NA,NA,"CA",NA,NA,NA,NA,NA,NA,"FR","DE",NA,NA,NA,"IE",NA,NA,"JP",NA,NA,NA,NA,"NZ","NO",NA,NA,NA,NA,NA,NA,"ES","SE","CH","UK","US",NA,NA,NA,NA,NA,"orig13",NA,NA,NA,NA,"emplrate_ivC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"age_iv","age2_iv","sex_iv","employed_iv","income_iv",NA,NA,"education_iv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"t0m13",0,13,-0.01445,-0.02118,-0.00772,0.00673,-4.21283,3e-05,"Jobs","Stock","WDI","bradyfinnigan2014countrydata.dta","Immigrant, foreign-born","current","Total","logit",48,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,-0.01445,-0.02118,-0.00772,"Reject",0,1,0,"Reject",1,1,13,"Stock","logit","Stata","Emp_Rate","Yes","Yes","No","No","Yes","dichotomous","Jobs",NA,NA,NA,"Low",NA,NA,NA,NA,NA
NA,"Unemp",NA,NA,NA,NA,NA,"Stock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"listwise",NA,NA,NA,NA,NA,NA,NA,NA,"stata",NA,NA,NA,NA,NA,NA,NA,NA,NA,"w1996","w2006",NA,"AU",NA,NA,NA,"CA",NA,NA,NA,NA,NA,NA,"FR","DE",NA,NA,NA,"IE",NA,NA,"JP",NA,NA,NA,NA,"NZ","NO",NA,NA,NA,NA,NA,NA,"ES","SE","CH","UK","US",NA,NA,NA,NA,NA,"orig13",NA,NA,NA,NA,"emplrate_ivC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"age_iv","age2_iv","sex_iv","employed_iv","income_iv",NA,NA,"education_iv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"t0m14",0,14,0.00034,-0.00567,0.00634,0.00601,0.11111,0.91153,"Unemp","Stock","WDI","bradyfinnigan2014countrydata.dta","Immigrant, foreign-born","current","Total","logit",48,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,0.00034,-0.00567,0.00634,"Reject",0,1,0,"Reject",0,0,13,"Stock","logit","Stata","Emp_Rate","Yes","Yes","No","No","Yes","dichotomous","Unemp",NA,NA,NA,"Low",NA,NA,NA,NA,NA
NA,NA,"IncDiff",NA,NA,NA,NA,"Stock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"listwise",NA,NA,NA,NA,NA,NA,NA,NA,"stata",NA,NA,NA,NA,NA,NA,NA,NA,NA,"w1996","w2006",NA,"AU",NA,NA,NA,"CA",NA,NA,NA,NA,NA,NA,"FR","DE",NA,NA,NA,"IE",NA,NA,"JP",NA,NA,NA,NA,"NZ","NO",NA,NA,NA,NA,NA,NA,"ES","SE","CH","UK","US",NA,NA,NA,NA,NA,"orig13",NA,NA,NA,NA,"emplrate_ivC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"age_iv","age2_iv","sex_iv","employed_iv","income_iv",NA,NA,"education_iv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"t0m15",0,15,-0.01601,-0.02273,-0.00929,0.00672,-4.66764,1e-05,"IncDiff","Stock","WDI","bradyfinnigan2014countrydata.dta","Immigrant, foreign-born","current","Total","logit",48,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,-0.01601,-0.02273,-0.00929,"Reject",0,1,0,"Reject",1,1,13,"Stock","logit","Stata","Emp_Rate","Yes","Yes","No","No","Yes","dichotomous","IncDiff",NA,NA,NA,"Low",NA,NA,NA,NA,NA
NA,NA,NA,"OldAge",NA,NA,NA,"Stock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"listwise",NA,NA,NA,NA,NA,NA,NA,NA,"stata",NA,NA,NA,NA,NA,NA,NA,NA,NA,"w1996","w2006",NA,"AU",NA,NA,NA,"CA",NA,NA,NA,NA,NA,NA,"FR","DE",NA,NA,NA,"IE",NA,NA,"JP",NA,NA,NA,NA,"NZ","NO",NA,NA,NA,NA,NA,NA,"ES","SE","CH","UK","US",NA,NA,NA,NA,NA,"orig13",NA,NA,NA,NA,"emplrate_ivC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"age_iv","age2_iv","sex_iv","employed_iv","income_iv",NA,NA,"education_iv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"t0m16",0,16,0.00314,-0.00028,0.00656,0.00342,1.8046,0.07114,"OldAge","Stock","WDI","bradyfinnigan2014countrydata.dta","Immigrant, foreign-born","current","Total","logit",48,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,0.00314,-0.00028,0.00656,"Reject",0,1,0,"Reject",0,0,13,"Stock","logit","Stata","Emp_Rate","Yes","Yes","No","No","Yes","dichotomous","OldAge",NA,NA,NA,"Low",NA,NA,NA,NA,NA
NA,NA,NA,NA,"House",NA,NA,"Stock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"listwise",NA,NA,NA,NA,NA,NA,NA,NA,"stata",NA,NA,NA,NA,NA,NA,NA,NA,NA,"w1996","w2006",NA,"AU",NA,NA,NA,"CA",NA,NA,NA,NA,NA,NA,"FR","DE",NA,NA,NA,"IE",NA,NA,"JP",NA,NA,NA,NA,"NZ","NO",NA,NA,NA,NA,NA,NA,"ES","SE","CH","UK","US",NA,NA,NA,NA,NA,"orig13",NA,NA,NA,NA,"emplrate_ivC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"age_iv","age2_iv","sex_iv","employed_iv","income_iv",NA,NA,"education_iv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"t0m17",0,17,-2e-05,-0.00607,0.00602,0.00605,-0.00649,0.99482,"House","Stock","WDI","bradyfinnigan2014countrydata.dta","Immigrant, foreign-born","current","Total","logit",48,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,-2e-05,-0.00607,0.00602,"Reject",0,1,0,"Reject",0,0,13,"Stock","logit","Stata","Emp_Rate","Yes","Yes","No","No","Yes","dichotomous","House",NA,NA,NA,"Low",NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"Health",NA,"Stock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"listwise",NA,NA,NA,NA,NA,NA,NA,NA,"stata",NA,NA,NA,NA,NA,NA,NA,NA,NA,"w1996","w2006",NA,"AU",NA,NA,NA,"CA",NA,NA,NA,NA,NA,NA,"FR","DE",NA,NA,NA,"IE",NA,NA,"JP",NA,NA,NA,NA,"NZ","NO",NA,NA,NA,NA,NA,NA,"ES","SE","CH","UK","US",NA,NA,NA,NA,NA,"orig13",NA,NA,NA,NA,"emplrate_ivC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"age_iv","age2_iv","sex_iv","employed_iv","income_iv",NA,NA,"education_iv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"t0m18",0,18,-0.00521,-0.00857,-0.00184,0.00336,-3.02907,0.00245,"Health","Stock","WDI","bradyfinnigan2014countrydata.dta","Immigrant, foreign-born","current","Total","logit",48,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,-0.00521,-0.00857,-0.00184,"Reject",0,1,0,"Reject",1,1,13,"Stock","logit","Stata","Emp_Rate","Yes","Yes","No","No","Yes","dichotomous","Health",NA,NA,NA,"Low",NA,NA,NA,NA,NA
