"Group.1","Group.2","u_teamid","count","AME","lower","upper","error","z","p","inv_weight","Jobs","Unemp","IncDiff","OldAge","House","Health","Scale","Stock","Flow","ChangeFlow","main_IV_as_control","twowayfe","cluster_any","mlm_any","mlm_re","mlm_fe","hybrid_mlm","level_cyear","level_country","level_year","country_dummies_only","year_dummies_only","year_as_count","logit","ologit","lpm","listwise","multimpute","ols","mlogit","ml_glm","bayes","L2boots","weights","pseudo_pnl","stata","r","mplus","spss","mlwin","dichotomize","categorical","mmodel","unbalpanel","w1985","w1990","w1996","w2006","w2016","AU","AT","BE","BG","CA","CL","HR","CY","CZ","DK","FI","FR","DE","HU","IS","IN","IE","IL","IT","JP","KR","LV","LT","NT","NZ","NO","PH","PL","PT","RU","SK","SI","ES","SE","CH","UK","US","ZA","TW","TR","UY","VE","orig13","orig17","eeurope","allavailable","emigration_ivC","emplrate_ivC","socx_ivC","unemprate_ivC","gdp_ivC","unchange_ivC","poverty_ivC","fbunemprate_ivC","fbunempchange_ivC","fbeducrate_ivC","fbeducratechange_ivC","socxchg_ivC","gdpchange_ivC","ginin_ivC","mcp_ivC","regime_ivC","socialistdummy_ivC","targeting_ivC","socx_programspecific_ivC","conservatism_ivC","decomm_ivC","tradeunion10_ivC","subFB_ivC","socult_ivC","fract_ivC","antiimm_ivC","pop_ivC","age_iv","age2_iv","sex_iv","employed_iv","income_iv","occclass_iv","occstatus_iv","education_iv","married_iv","household_iv","reldenom_iv","relattend_iv","publice_iv","urban_iv","fb_iv","cuts_iv","taxes_iv","upol_iv","leftright_iv","trust_iv","efficacy_iv","fbXnet","netXcons","netXeduc","netXage","netXsex","netXunemp","netXinc","fbXeduc","fbXage","fbXsex","fbXunemp","fbXgini","fbXurban","fbXinc","squared_imm","fractXfb","fbXleftright","anynonlin","Hsupport","Hreject","Hnotest","Hmixed","Hsupport_stock","Hreject_stock","Hnotest_stock","Hsupport_net","Hreject_net","Hnotest_net","AME_Z","lower_Z","upper_Z","Hresult","Hsup","Hrej","Hno","AME_sup_p05","AME_sup_p10","countries","belief_strength","pro_immigrant","changemind_delib","topic_interest","pub_interest","team_size","stat","topic","belief","score_waves","score_cases","score_levels","score_mlm","score_mator","score_weight","total_score","pos_test_pct_p05","pos_test_pct_p10","stat_cat","belief_cat","topic_cat","total_score_cat"
1,"No test",1,54.5,NA,NA,NA,NA,NA,NA,8,0.25,0.25,0.25,0.25,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No test",0,0,1,NA,NA,13,7,4,4,3,4,3,0.238132638988832,-0.299672544304737,-0.420377559523211,0.26650367,0.34229829,0.37041565,0.50977995,0.35696822,0.3,0.357660963333333,0,0,"Low","Lowest","Lowest","Low"
2,"No test",2,59,-0.0732066666666667,-0.144906666666667,-0.00150666666666667,0.0717,-1.95218333333333,0.0886566666666667,4,1,1,1,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.666666666666667,1,0,1,0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,1,0,NA,NA,NA,NA,NA,NA,-0.0128250380801542,-0.0253861240060314,-0.000263952154276919,"No test",0,0,1,0.666666666666667,0.666666666666667,20.6666666666667,6,3.33333333333333,3,4,5,3,0.552806474400866,0.524286105795955,0.262652035473427,1,NA,0.37041565,0.50977995,0.59046455,0.3,0.55413203,0.5,0.5,"High","High","High","Highest"
3,"No test",3,69.5,0.004,-0.0145,0.0223333333333333,0.0185,0.744138333333333,0.0771966666666667,12,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,0.000700757931708634,-0.0025402475024438,0.00391256511870654,"No test",0,0,1,0.333333333333333,0.333333333333333,13,5,2,3,4,4,2,0.143227567012795,-0.076515256800739,-0.39494295911237,0.49511002,0.34229829,0.04889976,0.37408313,0.44254279,0.3,0.333822331666667,0.416666666666667,0.416666666666667,"Low","Lowest","Low","Lowest"
5,"No test",5,90.5,0.003725625,-0.003775625,0.011226875,0.00750125,0.821550625,0.398380625,32,0.25,0.25,0.25,0.25,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.5,0.5,1,0,0.5,0,0.5,0.5,0,0,0,0.5,1,0.5,0.5,1,0.5,0,0.5,1,0,0,0,0.5,0,0.5,0.5,1,0,0,0,0,0.5,0.5,1,1,0,0.5,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,0.000652690317330494,-0.000661449791476852,0.00196683042613784,"No test",0,0,1,0,0,15,2,3.33333333333333,3,4,5,3,-0.21501214947844,-0.244197548085396,-0.354884089483158,NA,0.91381418,0.59168704,0.50977995,0.44254279,0.3,0.551564792,0.03125,0.09375,"Low","Lowest","Low","Highest"
18,"No test",18,185.5,0.0156666666666667,-0.0171666666666667,0.0483333333333333,0.0328333333333333,1.125335,0.157955,12,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,0.00274463523252548,-0.00300741945691622,0.00846749167481265,"No test",0,0,1,0.166666666666667,0.166666666666667,18,3,2,3,5,5,3,-0.136941585278708,0.134794317476992,0.209909002701657,0.49511002,0.91381418,0.04889976,0.37408313,0.44254279,0.3,0.42907498,0.0833333333333333,0.0833333333333333,"Low","Low","Low","High"
54,"No test",54,604.5,0.0598116666666667,0.0105716666666667,0.10905,0.04924,2.39246,0.02642,12,1,1,1,1,0,0,1,0,1,0,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0.666666666666667,1,1,1,1,0,0,0,1,1,0.666666666666667,0,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,1,1,0,1,0,0.666666666666667,0,1,1,1,1,1,1,0.666666666666667,0,0,0,0,0,0,1,1,0,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0.0104783749563449,0.00185204481701161,0.0191044131132066,"No test",0,0,1,0,0,24,4,2.33333333333333,2,5,5,3,0.340589275161526,0.196817541665023,-0.171414649812028,0.83170334,0.91381418,0.04889976,0.68826406,0.59046455,0.77506112,0.641367835,0,0,"High","Low","Low","Highest"
64,"No test",64,747.5,-0.003335,-0.18903625,0.1823675,0.18570125,-0.03275625,0.62599625,16,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.5,0.5,0.75,0,0.5,0,0,0,0,0,1,0.5,1,1,1,1,0.375,0,0,0,0,0.625,0,1,0,0,0.75,1,0,0,0,0,0.5,0.5,1,1,1,0.5,0.75,0,0,0,0,0,0,0,1,1,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,-0.000584256925562073,-0.033117162891989,0.0319488680277185,"No test",0,0,1,0,0,15.75,3,3,3,5,4,3,-0.772639620583323,-0.500030321703247,-0.0233600182485893,NA,0.91381418,0.59168704,0.50977995,0.59046455,0.3,0.581149144,0,0,"Lowest","Low","Lowest","Highest"
73,"No test",73,948.5,-0.00251333333333333,-0.00823833333333333,0.00320833333333333,0.005725,-1.28680333333333,0.37507,12,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,-0.000440309567090258,-0.00144326935684824,0.000562066257724633,"No test",0,0,1,0.333333333333333,0.333333333333333,13,2,1,3,4,4,1,-0.345832199727883,-0.358481640873335,0.341758096359153,0.49511002,0.34229829,0.04889976,0.68826406,0.49022005,0.77506112,0.473308883333333,0.166666666666667,0.166666666666667,"Lowest","High","Lowest","High"
75,"No test",75,966.5,-0.08128,-0.14599,-0.019754,0.063118,-2.605106,0.023108,18,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,-0.0142394011723194,-0.0255759126125358,-0.00346069304574309,"No test",0,0,1,0.8,1,16,5,3.66666666666667,3,5,4,3,0.559364345734456,-0.042349510161927,0.13231657795453,0.49511002,NA,0.66136919,0.82885086,0.44254279,0.3,0.545574572,0.222222222222222,0.277777777777778,"High","Low","Low","Highest"
0,"Reject",0,36.5,0.0436216666666667,0.0171625,0.0700804166666667,0.0264591666666667,3.04070416666667,0.10296125,48,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0,0,1,0,0.25,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,0.00764205722775419,0.00300668950073735,0.0122773519591531,"Reject",0,1,0,0,0,13,NA,NA,NA,NA,NA,2,NA,NA,NA,0.26650367,0.34229829,0.04889976,0.68826406,0.44254279,0.3,0.348084761666667,0.25,0.270833333333333,NA,NA,NA,"Low"
