"Group.1","Group.2","u_teamid","count","AME","lower","upper","error","z","p","inv_weight","Jobs","Unemp","IncDiff","OldAge","House","Health","Scale","Stock","Flow","ChangeFlow","main_IV_as_control","twowayfe","cluster_any","mlm_any","mlm_re","mlm_fe","hybrid_mlm","level_cyear","level_country","level_year","country_dummies_only","year_dummies_only","year_as_count","logit","ologit","lpm","listwise","multimpute","ols","mlogit","ml_glm","bayes","L2boots","weights","pseudo_pnl","stata","r","mplus","spss","mlwin","dichotomize","categorical","mmodel","unbalpanel","w1985","w1990","w1996","w2006","w2016","AU","AT","BE","BG","CA","CL","HR","CY","CZ","DK","FI","FR","DE","HU","IS","IN","IE","IL","IT","JP","KR","LV","LT","NT","NZ","NO","PH","PL","PT","RU","SK","SI","ES","SE","CH","UK","US","ZA","TW","TR","UY","VE","orig13","orig17","eeurope","allavailable","emigration_ivC","emplrate_ivC","socx_ivC","unemprate_ivC","gdp_ivC","unchange_ivC","poverty_ivC","fbunemprate_ivC","fbunempchange_ivC","fbeducrate_ivC","fbeducratechange_ivC","socxchg_ivC","gdpchange_ivC","ginin_ivC","mcp_ivC","regime_ivC","socialistdummy_ivC","targeting_ivC","socx_programspecific_ivC","conservatism_ivC","decomm_ivC","tradeunion10_ivC","subFB_ivC","socult_ivC","fract_ivC","antiimm_ivC","pop_ivC","age_iv","age2_iv","sex_iv","employed_iv","income_iv","occclass_iv","occstatus_iv","education_iv","married_iv","household_iv","reldenom_iv","relattend_iv","publice_iv","urban_iv","fb_iv","cuts_iv","taxes_iv","upol_iv","leftright_iv","trust_iv","efficacy_iv","fbXnet","netXcons","netXeduc","netXage","netXsex","netXunemp","netXinc","fbXeduc","fbXage","fbXsex","fbXunemp","fbXgini","fbXurban","fbXinc","squared_imm","fractXfb","fbXleftright","anynonlin","Hsupport","Hreject","Hnotest","Hmixed","Hsupport_stock","Hreject_stock","Hnotest_stock","Hsupport_net","Hreject_net","Hnotest_net","AME_Z","lower_Z","upper_Z","Hresult","Hsup","Hrej","Hno","AME_sup_p05","AME_sup_p10","countries","belief_strength","pro_immigrant","changemind_delib","topic_interest","pub_interest","team_size","stat","topic","belief","score_waves","score_cases","score_levels","score_mlm","score_mator","score_weight","total_score","pos_test_pct_p05","pos_test_pct_p10","stat_cat","belief_cat","topic_cat","total_score_cat"
1,"No test",1,50.5,NA,NA,NA,NA,NA,NA,8,0.25,0.25,0.25,0.25,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No test",0,0,1,NA,NA,13,7,4,4,3,4,3,0.238132638988832,-0.299672544304737,-0.420377559523211,0.26650367,0.34229829,0.37041565,0.50977995,0.35696822,0.3,0.357660963333333,0,0,"Low","Lowest","Lowest","Low"
2,"No test",2,57,0.00447,-0.0089,0.01783,0.01337,0.65543,0.51219,4,1,1,1,1,0,1,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,0.00447,-0.0089,0.01783,"No test",0,0,1,0,0,21,6,3.33333333333333,3,4,5,3,0.552806474400866,0.524286105795955,0.262652035473427,1,NA,0.37041565,0.50977995,0.59046455,0.3,0.55413203,0.5,0.5,"High","High","High","Highest"
3,"No test",3,63.5,-0.00383333333333333,-0.00716666666666667,-0.000833333333333333,0.00333333333333333,-2.31998833333333,0.387833333333333,12,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,-0.00383333333333333,-0.00716666666666667,-0.000833333333333333,"No test",0,0,1,0.5,0.5,13,5,2,3,4,4,2,0.143227567012795,-0.076515256800739,-0.39494295911237,0.49511002,0.34229829,0.04889976,0.37408313,0.44254279,0.3,0.333822331666667,0.416666666666667,0.416666666666667,"Low","Lowest","Low","Lowest"
5,"No test",5,86.5,-0.0018175,-0.064736875,0.061105625,0.062919375,-0.638986875,0.401129375,32,0.25,0.25,0.25,0.25,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.5,0.5,1,0,0.5,0,0.5,0.5,0,0,0.5,0.5,1,0.5,1,1,0.5,0,0.5,1,0,0.5,1,1,0,0.5,0.5,1,0,0.5,0.5,0,0.5,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,-0.0018175,-0.064736875,0.061105625,"No test",0,0,1,0.0625,0.1875,21,2,3.33333333333333,3,4,5,3,-0.21501214947844,-0.244197548085396,-0.354884089483158,NA,0.91381418,0.59168704,0.50977995,0.44254279,0.3,0.551564792,0.03125,0.09375,"Low","Lowest","Low","Highest"
18,"No test",18,179.5,0.0045,0.00233333333333333,0.00666666666666667,0.00216666666666667,4.50568833333333,0.08743,12,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,0.0045,0.00233333333333333,0.00666666666666667,"No test",0,0,1,0,0,18,3,2,3,5,5,3,-0.136941585278708,0.134794317476992,0.209909002701657,0.49511002,0.91381418,0.04889976,0.37408313,0.44254279,0.3,0.42907498,0.0833333333333333,0.0833333333333333,"Low","Low","Low","High"
32,"No test",32,402,0.00808,-0.03134,0.04751,0.03942,0.40179,0.68784,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,0.00808,-0.03134,0.04751,"No test",0,0,1,0,0,11,5,2.33333333333333,3,5,5,3,0.417680235058367,0.0344154403619487,0.110009471514692,0.49511002,NA,0.04889976,0.68826406,0.09779951,0.77506112,0.421026894,0,0,"High","Low","Low","High"
54,"No test",54,602.5,-0.000588333333333333,-0.00743666666666667,0.006255,0.00684833333333333,-0.17425,0.461888333333333,12,1,1,1,1,0,0,1,1,0,0,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0.666666666666667,1,1,1,1,0,0,0,1,1,0.666666666666667,0,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,1,1,0,1,0,0.666666666666667,0,1,1,1,1,1,1,0.666666666666667,0,0,0,0,0,0,1,1,0,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,-0.000588333333333333,-0.00743666666666667,0.006255,"No test",0,0,1,0,0,24,4,2.33333333333333,2,5,5,3,0.340589275161526,0.196817541665023,-0.171414649812028,0.83170334,0.91381418,0.04889976,0.68826406,0.59046455,0.77506112,0.641367835,0,0,"High","Low","Low","Highest"
64,"No test",64,739.5,0.0089025,-0.0055125,0.02332,0.014415,1.18518375,0.28940375,16,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.5,0.5,0.75,0,0.5,0,0,0,0,0,1,0.625,1,1,1,1,0.375,0,0,0,0,0.625,0,1,0,0,0.75,1,0,0,0,0,0.5,1,1,1,1,0.75,0.75,0,0,0,0,0,0,0,1,1,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,0.0089025,-0.0055125,0.02332,"No test",0,0,1,0,0,16.625,3,3,3,5,4,3,-0.772639620583323,-0.500030321703247,-0.0233600182485893,NA,0.91381418,0.59168704,0.50977995,0.59046455,0.3,0.581149144,0,0,"Lowest","Low","Lowest","Highest"
73,"No test",73,942.5,0.0119983333333333,-0.00184666666666667,0.0258466666666667,0.013845,1.46668833333333,0.325343333333333,12,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,0.0119983333333333,-0.00184666666666667,0.0258466666666667,"No test",0,0,1,0,0,13,2,1,3,4,4,1,-0.345832199727883,-0.358481640873335,0.341758096359153,0.49511002,0.34229829,0.04889976,0.68826406,0.49022005,0.77506112,0.473308883333333,0.166666666666667,0.166666666666667,"Lowest","High","Lowest","High"
82,"No test",82,979.5,0.0037575,-0.01029875,0.01781375,0.01405625,0.6850825,0.32656875,8,0.25,0.25,0.25,0.25,0,0,0,1,0,0,1,0,0,1,0.5,0.5,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,0.0037575,-0.01029875,0.01781375,"No test",0,0,1,0,0,1,1,2.5,2,5,4,2,-0.152171881273705,-0.0962557812777212,0.262479531760609,0.78850856,NA,0.04889976,0.669315405,0.09779951,0.3,0.380904647,0,0,"Low","High","Low","Low"
