"","id","stata","r","mlwin","mplus","spss","socx_ivC","unemprate_ivC","emplrate_ivC","gdp_ivC","wave_str","w1985","w1990","w1996","w2006","w2016","logit","ols","ologit","mlogit","ml_glm","bayes","team","count","AME","lower","upper","error","z","p","DV","main_IV_type","main_IV_source","main_IV_source_file","main_IV_measurement","main_IV_time","main_IV_effect","main_IV_as_control","twowayfe","cluster_any","mlm_re","mlm_fe","hybrid_mlm","level_cyear","level_country","level_year","country_dummies_only","year_dummies_only","year_as_count","lpm","listwise","multimpute","L2boots","weights","pseudo_pnl","package","dichotomize","categorical","mmodel","unbalpanel","orig13","orig17","eeurope","allavailable","num_countries","emigration_ivC","unchange_ivC","poverty_ivC","fbunemprate_ivC","fbunempchange_ivC","fbeducrate_ivC","fbeducratechange_ivC","socxchg_ivC","gdpchange_ivC","ginin_ivC","mcp_ivC","regime_ivC","socialistdummy_ivC","targeting_ivC","socx_programspecific_ivC","conservatism_ivC","decomm_ivC","tradeunion10_ivC","subFB_ivC","socult_ivC","fract_ivC","antiimm_ivC","pop_ivC","age_iv","age2_iv","sex_iv","employed_iv","income_iv","occclass_iv","occstatus_iv","education_iv","married_iv","household_iv","reldenom_iv","relattend_iv","publice_iv","urban_iv","fb_iv","cuts_iv","taxes_iv","upol_iv","leftright_iv","trust_iv","efficacy_iv","fbXnet","netXcons","netXeduc","netXage","netXsex","netXunemp","netXinc","fbXeduc","fbXage","fbXsex","fbXunemp","fbXgini","fbXurban","fbXinc","squared_imm","fractXfb","fbXleftright","anynonlin","Hsupport","Hreject","Hnotest","Hmixed","Hsupport_stock","Hreject_stock","Hnotest_stock","Hsupport_net","Hreject_net","Hnotest_net","inv_weight","additionalinfo","incl_countries","AU","AT","BE","BG","CA","CL","HR","CY","CZ","DK","FI","FR","DE","HU","IS","IN","IE","IL","IT","JP","KR","LV","LT","NT","NZ","NO","PH","PL","PT","RU","SK","SI","ES","SE","CH","UK","US","ZA","TW","TR","UY","VE","u_teamid","software","indepv","wave","mator","countries","DV_str","Jobs","Unemp","IncDiff","OldAge","House","Health","Scale"
"1","t0m1",1,0,0,0,0,0,0,0,0,"0 0 1 1 0",0,0,1,1,0,1,0,0,0,0,0,0,1,-0.01117,-0.01556,-0.00679,0.00439,-4.98661,0,"Jobs","Stock","WDI","bradyfinnigan2014countrydata.dta","Immigrant, foreign-born","current","Total",0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"logit",1,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,48,NA,"AU 0 0 0 CA 0 0 0 0 0 0 FR DE 0 0 0 IE 0 0 JP 0 0 0 0 NZ NO 0 0 0 0 0 0 ES SE CH UK US 0 0 0 0 0","AU","0","0","0","CA","0","0","0","0","0","0","FR","DE","0","0","0","IE","0","0","JP","0","0","0","0","NZ","NO",0,"0","0","0","0","0","ES","SE","CH","UK","US","0","0","0",0,0,0,"stata",NA,"w1996","logit","13","Jobs 0 0 0 0 0 0","Jobs","0","0","0","0","0","0"
"2","t0m10",1,0,0,0,0,1,0,0,0,"0 0 1 1 0",0,0,1,1,0,1,0,0,0,0,0,0,10,0.00368,0.00032,0.00704,0.00336,2.15205,0.03139,"OldAge","Stock","WDI","bradyfinnigan2014countrydata.dta","Immigrant, foreign-born","current","Total",0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"logit",1,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,48,NA,"AU 0 0 0 CA 0 0 0 0 0 0 FR DE 0 0 0 IE 0 0 JP 0 0 0 0 NZ NO 0 0 0 0 0 0 ES SE CH UK US 0 0 0 0 0","AU","0","0","0","CA","0","0","0","0","0","0","FR","DE","0","0","0","IE","0","0","JP","0","0","0","0","NZ","NO",0,"0","0","0","0","0","ES","SE","CH","UK","US","0","0","0",0,0,0,"stata","socx_ivC","w1996","logit","13","0 0 0 OldAge 0 0 0","0","0","0","OldAge","0","0","0"
"3","t0m11",1,0,0,0,0,1,0,0,0,"0 0 1 1 0",0,0,1,1,0,1,0,0,0,0,0,0,11,-0.00519,-0.01049,0.00011,0.0053,-1.92222,0.05458,"House","Stock","WDI","bradyfinnigan2014countrydata.dta","Immigrant, foreign-born","current","Total",0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"logit",1,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,48,NA,"AU 0 0 0 CA 0 0 0 0 0 0 FR DE 0 0 0 IE 0 0 JP 0 0 0 0 NZ NO 0 0 0 0 0 0 ES SE CH UK US 0 0 0 0 0","AU","0","0","0","CA","0","0","0","0","0","0","FR","DE","0","0","0","IE","0","0","JP","0","0","0","0","NZ","NO",0,"0","0","0","0","0","ES","SE","CH","UK","US","0","0","0",0,0,0,"stata","socx_ivC","w1996","logit","13","0 0 0 0 House 0 0","0","0","0","0","House","0","0"
"4","t0m12",1,0,0,0,0,1,0,0,0,"0 0 1 1 0",0,0,1,1,0,1,0,0,0,0,0,0,12,-0.00604,-0.00897,-0.00311,0.00293,-4.05369,5e-05,"Health","Stock","WDI","bradyfinnigan2014countrydata.dta","Immigrant, foreign-born","current","Total",0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"logit",1,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,48,NA,"AU 0 0 0 CA 0 0 0 0 0 0 FR DE 0 0 0 IE 0 0 JP 0 0 0 0 NZ NO 0 0 0 0 0 0 ES SE CH UK US 0 0 0 0 0","AU","0","0","0","CA","0","0","0","0","0","0","FR","DE","0","0","0","IE","0","0","JP","0","0","0","0","NZ","NO",0,"0","0","0","0","0","ES","SE","CH","UK","US","0","0","0",0,0,0,"stata","socx_ivC","w1996","logit","13","0 0 0 0 0 Health 0","0","0","0","0","0","Health","0"
"5","t0m13",1,0,0,0,0,0,0,1,0,"0 0 1 1 0",0,0,1,1,0,1,0,0,0,0,0,0,13,-0.01445,-0.02118,-0.00772,0.00673,-4.21283,3e-05,"Jobs","Stock","WDI","bradyfinnigan2014countrydata.dta","Immigrant, foreign-born","current","Total",0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"logit",1,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,48,NA,"AU 0 0 0 CA 0 0 0 0 0 0 FR DE 0 0 0 IE 0 0 JP 0 0 0 0 NZ NO 0 0 0 0 0 0 ES SE CH UK US 0 0 0 0 0","AU","0","0","0","CA","0","0","0","0","0","0","FR","DE","0","0","0","IE","0","0","JP","0","0","0","0","NZ","NO",0,"0","0","0","0","0","ES","SE","CH","UK","US","0","0","0",0,0,0,"stata","emplrate_ivC","w1996","logit","13","Jobs 0 0 0 0 0 0","Jobs","0","0","0","0","0","0"
"6","t0m14",1,0,0,0,0,0,0,1,0,"0 0 1 1 0",0,0,1,1,0,1,0,0,0,0,0,0,14,0.00034,-0.00567,0.00634,0.00601,0.11111,0.91153,"Unemp","Stock","WDI","bradyfinnigan2014countrydata.dta","Immigrant, foreign-born","current","Total",0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"logit",1,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,48,NA,"AU 0 0 0 CA 0 0 0 0 0 0 FR DE 0 0 0 IE 0 0 JP 0 0 0 0 NZ NO 0 0 0 0 0 0 ES SE CH UK US 0 0 0 0 0","AU","0","0","0","CA","0","0","0","0","0","0","FR","DE","0","0","0","IE","0","0","JP","0","0","0","0","NZ","NO",0,"0","0","0","0","0","ES","SE","CH","UK","US","0","0","0",0,0,0,"stata","emplrate_ivC","w1996","logit","13","0 Unemp 0 0 0 0 0","0","Unemp","0","0","0","0","0"
"7","t0m15",1,0,0,0,0,0,0,1,0,"0 0 1 1 0",0,0,1,1,0,1,0,0,0,0,0,0,15,-0.01601,-0.02273,-0.00929,0.00672,-4.66764,0,"IncDiff","Stock","WDI","bradyfinnigan2014countrydata.dta","Immigrant, foreign-born","current","Total",0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"logit",1,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,48,NA,"AU 0 0 0 CA 0 0 0 0 0 0 FR DE 0 0 0 IE 0 0 JP 0 0 0 0 NZ NO 0 0 0 0 0 0 ES SE CH UK US 0 0 0 0 0","AU","0","0","0","CA","0","0","0","0","0","0","FR","DE","0","0","0","IE","0","0","JP","0","0","0","0","NZ","NO",0,"0","0","0","0","0","ES","SE","CH","UK","US","0","0","0",0,0,0,"stata","emplrate_ivC","w1996","logit","13","0 0 IncDiff 0 0 0 0","0","0","IncDiff","0","0","0","0"
"8","t0m16",1,0,0,0,0,0,0,1,0,"0 0 1 1 0",0,0,1,1,0,1,0,0,0,0,0,0,16,0.00314,-0.00028,0.00656,0.00342,1.8046,0.07114,"OldAge","Stock","WDI","bradyfinnigan2014countrydata.dta","Immigrant, foreign-born","current","Total",0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"logit",1,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,48,NA,"AU 0 0 0 CA 0 0 0 0 0 0 FR DE 0 0 0 IE 0 0 JP 0 0 0 0 NZ NO 0 0 0 0 0 0 ES SE CH UK US 0 0 0 0 0","AU","0","0","0","CA","0","0","0","0","0","0","FR","DE","0","0","0","IE","0","0","JP","0","0","0","0","NZ","NO",0,"0","0","0","0","0","ES","SE","CH","UK","US","0","0","0",0,0,0,"stata","emplrate_ivC","w1996","logit","13","0 0 0 OldAge 0 0 0","0","0","0","OldAge","0","0","0"
"9","t0m17",1,0,0,0,0,0,0,1,0,"0 0 1 1 0",0,0,1,1,0,1,0,0,0,0,0,0,17,-2e-05,-0.00607,0.00602,0.00605,-0.00649,0.99482,"House","Stock","WDI","bradyfinnigan2014countrydata.dta","Immigrant, foreign-born","current","Total",0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"logit",1,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,48,NA,"AU 0 0 0 CA 0 0 0 0 0 0 FR DE 0 0 0 IE 0 0 JP 0 0 0 0 NZ NO 0 0 0 0 0 0 ES SE CH UK US 0 0 0 0 0","AU","0","0","0","CA","0","0","0","0","0","0","FR","DE","0","0","0","IE","0","0","JP","0","0","0","0","NZ","NO",0,"0","0","0","0","0","ES","SE","CH","UK","US","0","0","0",0,0,0,"stata","emplrate_ivC","w1996","logit","13","0 0 0 0 House 0 0","0","0","0","0","House","0","0"
"10","t0m18",1,0,0,0,0,0,0,1,0,"0 0 1 1 0",0,0,1,1,0,1,0,0,0,0,0,0,18,-0.00521,-0.00857,-0.00184,0.00336,-3.02907,0.00245,"Health","Stock","WDI","bradyfinnigan2014countrydata.dta","Immigrant, foreign-born","current","Total",0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"logit",1,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,48,NA,"AU 0 0 0 CA 0 0 0 0 0 0 FR DE 0 0 0 IE 0 0 JP 0 0 0 0 NZ NO 0 0 0 0 0 0 ES SE CH UK US 0 0 0 0 0","AU","0","0","0","CA","0","0","0","0","0","0","FR","DE","0","0","0","IE","0","0","JP","0","0","0","0","NZ","NO",0,"0","0","0","0","0","ES","SE","CH","UK","US","0","0","0",0,0,0,"stata","emplrate_ivC","w1996","logit","13","0 0 0 0 0 Health 0","0","0","0","0","0","Health","0"
"11","t0m19",1,0,0,0,0,0,0,0,0,"0 0 1 1 0",0,0,1,1,0,1,0,0,0,0,0,0,19,-0.0188,-0.02391,-0.0137,0.00511,-7.23077,0,"Jobs","Stock","WDI","bradyfinnigan2014countrydata.dta","Immigrant, foreign-born","current","Total",1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"logit",1,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,48,NA,"AU 0 0 0 CA 0 0 0 0 0 0 FR DE 0 0 0 IE 0 0 JP 0 0 0 0 NZ NO 0 0 0 0 0 0 ES SE CH UK US 0 0 0 0 0","AU","0","0","0","CA","0","0","0","0","0","0","FR","DE","0","0","0","IE","0","0","JP","0","0","0","0","NZ","NO",0,"0","0","0","0","0","ES","SE","CH","UK","US","0","0","0",0,0,0,"stata",NA,"w1996","logit","13","Jobs 0 0 0 0 0 0","Jobs","0","0","0","0","0","0"
"12","t0m2",1,0,0,0,0,0,0,0,0,"0 0 1 1 0",0,0,1,1,0,1,0,0,0,0,0,0,2,0.00014,-0.00442,0.0047,0.00456,0.06009,0.95208,"Unemp","Stock","WDI","bradyfinnigan2014countrydata.dta","Immigrant, foreign-born","current","Total",0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"logit",1,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,48,NA,"AU 0 0 0 CA 0 0 0 0 0 0 FR DE 0 0 0 IE 0 0 JP 0 0 0 0 NZ NO 0 0 0 0 0 0 ES SE CH UK US 0 0 0 0 0","AU","0","0","0","CA","0","0","0","0","0","0","FR","DE","0","0","0","IE","0","0","JP","0","0","0","0","NZ","NO",0,"0","0","0","0","0","ES","SE","CH","UK","US","0","0","0",0,0,0,"stata",NA,"w1996","logit","13","0 Unemp 0 0 0 0 0","0","Unemp","0","0","0","0","0"
"13","t0m20",1,0,0,0,0,0,0,0,0,"0 0 1 1 0",0,0,1,1,0,1,0,0,0,0,0,0,20,-0.00083,-0.00564,0.00398,0.00481,-0.33878,0.73478,"Unemp","Stock","WDI","bradyfinnigan2014countrydata.dta","Immigrant, foreign-born","current","Total",1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"logit",1,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,48,NA,"AU 0 0 0 CA 0 0 0 0 0 0 FR DE 0 0 0 IE 0 0 JP 0 0 0 0 NZ NO 0 0 0 0 0 0 ES SE CH UK US 0 0 0 0 0","AU","0","0","0","CA","0","0","0","0","0","0","FR","DE","0","0","0","IE","0","0","JP","0","0","0","0","NZ","NO",0,"0","0","0","0","0","ES","SE","CH","UK","US","0","0","0",0,0,0,"stata",NA,"w1996","logit","13","0 Unemp 0 0 0 0 0","0","Unemp","0","0","0","0","0"
"14","t0m21",1,0,0,0,0,0,0,0,0,"0 0 1 1 0",0,0,1,1,0,1,0,0,0,0,0,0,21,-0.01304,-0.01819,-0.00788,0.00515,-4.95817,0,"IncDiff","Stock","WDI","bradyfinnigan2014countrydata.dta","Immigrant, foreign-born","current","Total",1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"logit",1,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,48,NA,"AU 0 0 0 CA 0 0 0 0 0 0 FR DE 0 0 0 IE 0 0 JP 0 0 0 0 NZ NO 0 0 0 0 0 0 ES SE CH UK US 0 0 0 0 0","AU","0","0","0","CA","0","0","0","0","0","0","FR","DE","0","0","0","IE","0","0","JP","0","0","0","0","NZ","NO",0,"0","0","0","0","0","ES","SE","CH","UK","US","0","0","0",0,0,0,"stata",NA,"w1996","logit","13","0 0 IncDiff 0 0 0 0","0","0","IncDiff","0","0","0","0"
