"","Var.1","AME.Z"
"1","Predictors","Estimates"
"2","(Intercept)","-0.008"
"3","Jobs","-0.013 *"
"4","IncDiff","-0.025 ***"
"5","House","0.014 *"
"6","Stock","-0.011 *"
"7","ChangeFlow","0.048 ***"
"8","w2016","-0.008"
"9","orig13","0.017"
"10","eeurope","0.012"
"11","twowayfe","0.014"
"12","level_cyear","0.019 *"
"13","IncDiff * Stock","0.026 **"
"14","Jobs * twowayfe","0.012"
"15","Team-Level","26.332"
"16","Model-Level","1.403"
"17","Total","4.213"
"22","AIC","-2948.482"
"23","log-Likelihood","1489.241"
"24","* p<0.05   ** p<0.01   *** p<0.001","* p<0.05   ** p<0.01   *** p<0.001"
