"","Var.1","Hresult","Hresult.1","Hresult.2","Hresult.3","Hresult.4","Hresult.5","Hresult.6","Hresult.7","Hresult.8","Hresult.9","Hresult.10","Hresult.11","Hresult.12","Hresult.13"
"2","(Intercept)","-0.738 *","No test","-2.041","No test","-0.261","No test","-4.112","No test","-3.202","No test","-10.762","No test","7.829","No test"
"130","Jobs","","","16.378 ***","No test","16.385 ***","No test","21.206 ***","No test","16.518 ***","No test","20.613 ***","No test","4.085","No test"
"162","IncDiff","","","-15.324 ***","No test","-14.987 ***","No test","-18.717 ***","No test","-14.563 ***","No test","-18.999 ***","No test","-4.088","No test"
"194","logit","","","1.034","No test","1.237","No test","1.151","No test","1.452","No test","0.875","No test","0.467","No test"
"226","ols","","","3.976","No test","4.306 *","No test","3.150","No test","4.015","No test","4.460","No test","5.268","No test"
"258","Stock","","","-2.592","No test","-2.384","No test","-2.305","No test","-2.417","No test","-2.237","No test","-2.723","No test"
"290","ChangeFlow","","","-300.010 ***","No test","-263.162 ***","No test","-234.357 ***","No test","-261.068 ***","No test","-193.999 ***","No test","-129.538","No test"
"322","w2006","","","-3.213","No test","-3.788","No test","-1.859","No test","-2.790","No test","-2.255","No test","-6.946","No test"
"354","w2016","","","2.644","No test","2.364","No test","2.309","No test","2.394","No test","1.811","No test","3.517","No test"
"386","orig13","","","3.017","No test","3.683 *","No test","3.675 *","No test","3.532 *","No test","4.421 *","No test","5.079","No test"
"418","eeurope","","","7.150","No test","7.233","No test","9.018 *","No test","7.458","No test","7.504","No test","10.499","No test"
"450","allavailable","","","-4.060","No test","-3.736","No test","-5.969","No test","-4.203","No test","-6.805","No test","-7.263","No test"
"482","twowayfe","","","1.794","No test","1.766","No test","1.452","No test","1.646","No test","1.363","No test","4.399","No test"
"514","level_cyear","","","2.492","No test","2.818","No test","2.412","No test","2.878","No test","0.871","No test","3.501","No test"
"546","mlm_fe","","","87.046 ***","No test","71.190 ***","No test","48.702 ***","No test","65.790 ***","No test","30.089 ***","No test","39.578","No test"
"578","gdp_ivC","","","-127.350 ***","No test","-96.073 ***","No test","-87.926 ***","No test","-105.332 ***","No test","-52.856 ***","No test","-64.811 ***","No test"
"610","anynonlin","","","-2.129","No test","-2.613","No test","-1.977","No test","-2.423","No test","0.063","No test","-1.764","No test"
"642","belief_ipred","","","-1.505","No test","","","","","","","-1.975","No test","1.194","No test"
"1162","pro_immigrant","","","","","-0.408","No test","","","","","-0.113","No test","-1.287","No test"
"1170","topic_ipred","","","","","","","-4.914","No test","","","-11.859","No test","-7.528","No test"
"1178","stats_ipred","","","","","","","","","-1.088","No test","2.006","No test","","No test"
"1182","total_score","","","","","","","","","","","18.842","No test","","No test"
"1184","pos_test_pct_p05","","","","","","","","","","","","","-10.076 *","No test"
"1185","neg_test_pct_p05","","","","","","","","","","","","","0.280","No test"
"129","(Intercept)","0.853 ***","Reject","2.391","Reject","4.805","Reject","1.414","Reject","2.216","Reject","3.472","Reject","14.634 *","Reject"
"677","Jobs","","","-1.024","Reject","-1.067","Reject","-0.439","Reject","-0.992","Reject","-0.516","Reject","-5.164","Reject"
"709","IncDiff","","","0.406","Reject","0.502","Reject","0.155","Reject","0.465","Reject","-0.231","Reject","2.547","Reject"
"741","logit","","","0.741","Reject","0.677","Reject","0.687","Reject","0.781","Reject","0.569","Reject","0.269","Reject"
"773","ols","","","1.202","Reject","1.566","Reject","0.835","Reject","1.130","Reject","1.650","Reject","3.589","Reject"
"805","Stock","","","-3.086 **","Reject","-2.929 **","Reject","-2.902 **","Reject","-3.036 **","Reject","-2.828 **","Reject","-3.703 *","Reject"
"837","ChangeFlow","","","-166.789 ***","Reject","-134.444 ***","Reject","-88.460 ***","Reject","-123.676 ***","Reject","-49.710 ***","Reject","-56.622","Reject"
"869","w2006","","","-0.841","Reject","-1.516","Reject","-0.228","Reject","-0.799","Reject","-1.127","Reject","-5.471","Reject"
"901","w2016","","","1.168","Reject","1.231","Reject","1.316","Reject","1.208","Reject","1.079","Reject","2.471","Reject"
"933","orig13","","","1.254","Reject","1.719","Reject","1.412","Reject","1.307","Reject","1.753","Reject","3.480","Reject"
"965","eeurope","","","4.208","Reject","4.285","Reject","5.842","Reject","4.172","Reject","5.925","Reject","7.850","Reject"
"997","allavailable","","","-3.190","Reject","-2.910","Reject","-4.974","Reject","-3.191","Reject","-5.008","Reject","-6.329","Reject"
"1029","twowayfe","","","-0.183","Reject","-0.033","Reject","-0.128","Reject","-0.163","Reject","0.163","Reject","2.444","Reject"
"1061","level_cyear","","","0.582","Reject","0.808","Reject","0.535","Reject","0.615","Reject","0.710","Reject","2.042","Reject"
"1093","mlm_fe","","","83.249 ***","Reject","67.360 ***","Reject","43.819 ***","Reject","61.579 ***","Reject","25.067 ***","Reject","34.169","Reject"
"1125","gdp_ivC","","","-2.128 *","Reject","-2.091 *","Reject","-2.020 *","Reject","-2.096 *","Reject","-1.928 *","Reject","-0.565","Reject"
