"","value","n","prop"
"1","software",1000," NA%"
"2","Stata",894,"70.90%"
"3","R",241,"19.11%"
"4","Mplus",74,"5.87%"
"5","MLwiN",32,"2.54%"
"6","SPSS",20,"1.59%"
"7",NA,0,"100.00%"
"8","num_countries",1000," NA%"
"9","13",327,"25.93%"
"10","26",156,"12.37%"
"11","11",123,"9.75%"
"12","14",88,"6.98%"
"13","12",85,"6.74%"
"14","15",82,"6.50%"
"15","22",73,"5.79%"
"16","17",56,"4.44%"
"17","16",47,"3.73%"
"18","27",47,"3.73%"
"19","25",40,"3.17%"
"20","24",30,"2.38%"
"21","10",18,"1.43%"
"22","18",16,"1.27%"
"23","20",13,"1.03%"
"24","31",12,"0.95%"
"25","6",12,"0.95%"
"26","1",8,"0.63%"
"27","23",8,"0.63%"
"28","29",8,"0.63%"
"29","28",6,"0.48%"
"30","19",3,"0.24%"
"31","21",3,"0.24%"
"32",NA,0,"100.00%"
"33","mator",1000," NA%"
"34","logit",630,"49.96%"
"35","ml_glm",398,"31.56%"
"36","ols",118,"9.36%"
"37","ologit",82,"6.50%"
"38","bayes",33,"2.62%"
"39",NA,0,"100.00%"
"40","main_IV_type",1000," NA%"
"41","Stock",625,"49.56%"
"42","Flow",593,"47.03%"
"43","Change in Flow",43,"3.41%"
"44",NA,0,"100.00%"
"45","main_IV_time",1000," NA%"
"46","current",622,"49.33%"
"47","1-year",473,"37.51%"
"48","per wave",63,"5.00%"
"49","5-year",60,"4.76%"
"50","10-year",27,"2.14%"
"51","3-year",16,"1.27%"
"52",NA,0,"100.00%"
"53","main_IV_measurement",1000," NA%"
"54","Immigrant, foreign-born",727,"57.65%"
"55","Net Migration",424,"33.62%"
"56","Non-Western Immigrant",36,"2.85%"
"57","Western Immigrant",36,"2.85%"
"58","Muslim-country Immigrant",18,"1.43%"
"59","Refugee",16,"1.27%"
"60","Asylum applicants",4,"0.32%"
"61",NA,0,"100.00%"
"62","main_IV_as_control",1000," NA%"
"63",NA,843,"66.85%"
"64","main_IV_as_control",418,"33.15%"
"65",NA,0,"100.00%"
"66","indepv",1000," NA%"
"67","Soc_Spending",512,"40.60%"
"68","None",441,"34.97%"
"69","Emp_Rate",188,"14.91%"
"70","Unemp_Rate",76,"6.03%"
"71","GDP_Per_Capita",44,"3.49%"
"72",NA,0,"100.00%"
"73","DV",1000," NA%"
"74","IncDiff",205,"16.26%"
"75","Jobs",205,"16.26%"
"76","OldAge",205,"16.26%"
"77","Unemp",205,"16.26%"
"78","Scale",195,"15.46%"
"79","Health",123,"9.75%"
"80","House",123,"9.75%"
"81",NA,0,"100.00%"
