"","u_teamid","id","team","AME_Z","upper_Z","lower_Z","u_delibtreatmentgroup1","AME","lower","upper","error","z","p","DV","main_IV_type","main_IV_source","main_IV_measurement","main_IV_time","main_IV_effect","package","countries","Jobs","Unemp","IncDiff","OldAge","House","Health","Scale","Stock","Flow","ChangeFlow","main_IV_as_control","twowayfe","cluster_any","mlm_any","mlm_re","mlm_fe","hybrid_mlm","level_cyear","level_country","level_year","country_dummies_only","year_dummies_only","year_as_count","logit","ologit","lpm","listwise","multimpute","ols","mlogit","ml_glm","bayes","L2boots","weights","pseudo_pnl","stata","r","mplus","spss","mlwin","dichotomize","categorical","mmodel","unbalpanel","w1985","w1990","w1996","w2006","w2016","AU","AT","BE","BG","CA","CL","HR","CY","CZ","DK","FI","FR","DE","HU","IS","IN","IE","IL","IT","JP","KR","LV","LT","NT","NZ","NO","PH","PL","PT","RU","SK","SI","ES","SE","CH","UK","US","ZA","TW","TR","UY","VE","orig13","orig17","eeurope","allavailable","emigration_ivC","emplrate_ivC","socx_ivC","unemprate_ivC","gdp_ivC","unchange_ivC","poverty_ivC","fbunemprate_ivC","fbunempchange_ivC","fbeducrate_ivC","fbeducratechange_ivC","socxchg_ivC","gdpchange_ivC","ginin_ivC","mcp_ivC","regime_ivC","socialistdummy_ivC","targeting_ivC","socx_programspecific_ivC","conservatism_ivC","decomm_ivC","tradeunion10_ivC","subFB_ivC","socult_ivC","fract_ivC","antiimm_ivC","pop_ivC","age_iv","age2_iv","sex_iv","employed_iv","income_iv","occclass_iv","occstatus_iv","education_iv","married_iv","household_iv","reldenom_iv","relattend_iv","publice_iv","urban_iv","fb_iv","cuts_iv","taxes_iv","upol_iv","leftright_iv","trust_iv","efficacy_iv","fbXnet","netXcons","netXeduc","netXage","netXsex","netXunemp","netXinc","fbXeduc","fbXage","fbXsex","fbXunemp","fbXgini","fbXurban","fbXinc","squared_imm","fractXfb","fbXleftright","anynonlin","Hsup","Hrej","Hno","AME_sup_p05","AME_sup_p10","AME_neg_p05","AME_ns_p05","u_expgroup1","belief_strength","pro_immigrant","changemind_delib","topic_interest","pub_interest","belief_1_avg","belief_2_avg","stat","topic","belief","score_waves","score_cases","score_levels","score_mlm","score_mator","score_weight","total_score","inv_weight_H","pos_test_team_p05","neg_test_team_p05","ns_test_team_p05","pos_test_pct_p05","pos_test_pct_p10","neg_test_pct_p05","ns_test_pct_p05","stats_ipred","topic_ipred","belief_ipred","HresultF","STATISTICS_SKILL","BELIEF_HYPOTHESIS","TOPIC_KNOWLEDGE","MODEL_SCORE","PRO_IMMIGRANT","AME_Z_b","AME_Z_w","jobs_b","unemp_b","incdiff_b","oldage_b","house_b","health_b","jobs_w","unemp_w","incdiff_w","oldage_w","house_w","health_w","scale_b","scale_w","un_emp_rate_ivC","main_IV_factor","in_m13"
"1",1,"t1m1",2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"Jobs","Stock","WDI","Immigrant, foreign-born","current","unclear","brm",13,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,0,7,3,4,3,4,2.33333333333333,3,0.248746192625613,-0.292477632112808,-0.39833397422834,0.26650367,0.34229829,0.37041565,0.50977995,0.35696822,0.3,0.357660963333333,8,0,0,0,0,0,0,0,0.180248706067839,-0.213873740679253,-0.461051824719073,"No test","Mid","Low","Low","Mid","Low",NA,NA,0.25,0.25,0.25,0.25,0,0,0.75,-0.25,-0.25,-0.25,0,0,0,0,1,"Immigrant, foreign-born",FALSE
"2",1,"t1m2",2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"Unemp","Stock","WDI","Immigrant, foreign-born","current","unclear","brm",13,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,0,7,3,4,3,4,2.33333333333333,3,0.248746192625613,-0.292477632112808,-0.39833397422834,0.26650367,0.34229829,0.37041565,0.50977995,0.35696822,0.3,0.357660963333333,8,0,0,0,0,0,0,0,0.180248706067839,-0.213873740679253,-0.461051824719073,"No test","Mid","Low","Low","Mid","Low",NA,NA,0.25,0.25,0.25,0.25,0,0,-0.25,0.75,-0.25,-0.25,0,0,0,0,1,"Immigrant, foreign-born",FALSE
"3",1,"t1m3",2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"IncDiff","Stock","WDI","Immigrant, foreign-born","current","unclear","brm",13,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,0,7,3,4,3,4,2.33333333333333,3,0.248746192625613,-0.292477632112808,-0.39833397422834,0.26650367,0.34229829,0.37041565,0.50977995,0.35696822,0.3,0.357660963333333,8,0,0,0,0,0,0,0,0.180248706067839,-0.213873740679253,-0.461051824719073,"No test","Mid","Low","Low","Mid","Low",NA,NA,0.25,0.25,0.25,0.25,0,0,-0.25,-0.25,0.75,-0.25,0,0,0,0,1,"Immigrant, foreign-born",FALSE
"4",1,"t1m4",2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"OldAge","Stock","WDI","Immigrant, foreign-born","current","unclear","brm",13,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,0,7,3,4,3,4,2.33333333333333,3,0.248746192625613,-0.292477632112808,-0.39833397422834,0.26650367,0.34229829,0.37041565,0.50977995,0.35696822,0.3,0.357660963333333,8,0,0,0,0,0,0,0,0.180248706067839,-0.213873740679253,-0.461051824719073,"No test","Mid","Low","Low","Mid","Low",NA,NA,0.25,0.25,0.25,0.25,0,0,-0.25,-0.25,-0.25,0.75,0,0,0,0,1,"Immigrant, foreign-born",FALSE
"5",1,"t1m5",2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"Jobs","Flow","WDI","Net Migration","1-year","unclear","brm",13,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,0,7,3,4,3,4,2.33333333333333,3,0.248746192625613,-0.292477632112808,-0.39833397422834,0.26650367,0.34229829,0.37041565,0.50977995,0.35696822,0.3,0.357660963333333,8,0,0,0,0,0,0,0,0.180248706067839,-0.213873740679253,-0.461051824719073,"No test","Mid","Low","Low","Mid","Low",NA,NA,0.25,0.25,0.25,0.25,0,0,0.75,-0.25,-0.25,-0.25,0,0,0,0,1,"Net Migration",FALSE
"6",1,"t1m6",2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"Unemp","Flow","WDI","Net Migration","1-year","unclear","brm",13,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,0,7,3,4,3,4,2.33333333333333,3,0.248746192625613,-0.292477632112808,-0.39833397422834,0.26650367,0.34229829,0.37041565,0.50977995,0.35696822,0.3,0.357660963333333,8,0,0,0,0,0,0,0,0.180248706067839,-0.213873740679253,-0.461051824719073,"No test","Mid","Low","Low","Mid","Low",NA,NA,0.25,0.25,0.25,0.25,0,0,-0.25,0.75,-0.25,-0.25,0,0,0,0,1,"Net Migration",FALSE
"7",1,"t1m7",2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"IncDiff","Flow","WDI","Net Migration","1-year","unclear","brm",13,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,0,7,3,4,3,4,2.33333333333333,3,0.248746192625613,-0.292477632112808,-0.39833397422834,0.26650367,0.34229829,0.37041565,0.50977995,0.35696822,0.3,0.357660963333333,8,0,0,0,0,0,0,0,0.180248706067839,-0.213873740679253,-0.461051824719073,"No test","Mid","Low","Low","Mid","Low",NA,NA,0.25,0.25,0.25,0.25,0,0,-0.25,-0.25,0.75,-0.25,0,0,0,0,1,"Net Migration",FALSE
"8",1,"t1m8",2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"OldAge","Flow","WDI","Net Migration","1-year","unclear","brm",13,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,0,7,3,4,3,4,2.33333333333333,3,0.248746192625613,-0.292477632112808,-0.39833397422834,0.26650367,0.34229829,0.37041565,0.50977995,0.35696822,0.3,0.357660963333333,8,0,0,0,0,0,0,0,0.180248706067839,-0.213873740679253,-0.461051824719073,"No test","Mid","Low","Low","Mid","Low",NA,NA,0.25,0.25,0.25,0.25,0,0,-0.25,-0.25,-0.25,0.75,0,0,0,0,1,"Net Migration",FALSE
"9",2,"t2m1",3,0.00447,0.01783,-0.0089,0,0.00447,-0.0089,0.01783,0.01337,0.65543,0.51219,"Scale_5","Stock","World Bank","Immigrant, foreign-born","current","Total","mixed",21,1,1,1,1,0,1,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,6,3.66666666666667,3,4,5,2.66666666666667,2.66666666666667,0.552621830509526,0.555601209178509,0.296789104035648,1,NA,0.37041565,0.50977995,0.59046455,0.3,0.55413203,4,2,0,2,0.5,0.5,0,0.5,0.546922702402738,0.238467835806846,0.250565602024423,"No test","High","Mid","High","High","Mid",-0.00850015540992607,0.0129701554099261,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,"Immigrant, foreign-born",TRUE
"10",2,"t2m2",3,-0.00701902289911189,0.00406917648980208,-0.018105470597759,0,-0.04007,-0.10336,0.02323,0.06329,-1.24094,0.21463,"Scale_5","Flow","UN","Net Migration","1-year","Total","mixed",21,1,1,1,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,6,3.66666666666667,3,4,5,2.66666666666667,2.66666666666667,0.552621830509526,0.555601209178509,0.296789104035648,1,NA,0.37041565,0.50977995,0.59046455,0.3,0.55413203,4,2,0,2,0.5,0.5,0,0.5,0.546922702402738,0.238467835806846,0.250565602024423,"No test","High","Mid","High","High","Mid",-0.00850015540992607,0.00148113251081418,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,"Net Migration",TRUE
