"","id","u_teamid","dv_type","iv_type","software","indepv","mator","dichotomize","twowayfe","cluster_any","Jobs","Unemp","IncDiff","OldAge","House","Health","Scale","w1985","w1990","w1996","w2006","w2016","p","AME_Z","lower_Z","upper_Z","eeurope","allavailable","mlm_any","Hresult","orig13","BELIEF_HYPOTHESIS","PRO_IMMIGRANT","TOPIC_KNOWLEDGE","STATISTICS_SKILL","MODEL_SCORE","main_IV_measurement","emplrate_ivC","socx_ivC","unemprate_ivC","gdp_ivC","degree","SURVEY_WAVES","COUNTRIES","est","lb","ub","belief_ipred","pro_immigrant","topic_ipred","stats_ipred","total_score","count","sig_group","est_sig","est_ns","sig_group2","est_ns_scl","est_sig_scl","ci","ub_order","count2","est2","belief_ipredm","pro_immigrantm","topic_ipredm","stats_ipredm","total_scorem","belief_roll","pro_roll","topic_roll","stats_roll","total_roll","belief_roll2","pro_roll2","topic_roll2","stats_roll2","total_roll2","DV_Jobs","DV_Unemp","DV_IncDiff","DV_OldAge","DV_House","DV_Health","DV_Scale","Test_Stock","Test_Flow","Test_ChangeFlow","M_Gross","M_Net","W_Other","W_96_06","W_96_06_16","W_06_16","C_13","C_Other","C_All","C_CEE","IV_Emp","IV_GDP","IV_Socx","IV_None","Est_ols","Est_logit","Est_mlglm","Est_ologit","Est_bayes"
"436","t42m2",42,"Scale","ChangeFlow","Stata","Soc_Spending","ml_glm","continuous","No","No","Jobs","Unemp","IncDiff","OldAge","House","Health","Scale","Other","Other","w1996","w2006","w2016",5e-05,-0.37979,-0.56336,-0.19623,"Other","Other","mlm_any","Support","Other","Mid","Mid","Mid","Low","High","Net Migration",NA,"socx_ivC",NA,"gdp_ivC",3,"1996, 2006 & 2016","Other",-0.37979,-0.56336,-0.19623,-0.258559867787418,3.33333333333333,-0.137956813960904,-0.578128540492635,0.561222494,4,"1",-0.37979,NA,"1",NA,-1.65304950495049,-0.19623,0,1,-0.37979,-0.468967008193525,-0.995506250941978,-0.331784357186279,-1.29436228367134,0.998859292135787,-0.427647472761866,0.0662564154545581,0.0460476777167181,0.390653202139213,0.0933706464724746,-0.515449009182357,0.0475606678437615,0.00588920252146623,-0.228084529348723,-0.421902533987071,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0
"999","t84m3",84,"IncDiff","Stock","R","Soc_Spending","ologit","continuous","Yes","No",NA,NA,"IncDiff",NA,NA,NA,NA,"Other","Other","w1996","w2006","Other",1e-05,-0.315,-0.452,-0.179,"Other","Other",NA,"Support","orig13","Low","Mid","Mid","Mid","Low","Immigrant, foreign-born","emplrate_ivC","socx_ivC",NA,NA,4,"1996 & 2006","13 Rich Democracies Only",-0.315,-0.452,-0.179,-0.431763352035427,4.5,-0.105699306802092,-0.10327704252805,0.303667483333333,6,"1",-0.315,NA,"1",NA,-1.52475247524752,-0.179,0,2,-0.315,-0.8668031618486,0.0323703729099887,-0.22851170973824,-0.168071275888018,-1.25425204841721,-0.427647472761866,0.0662564154545581,0.0460476777167181,0.390653202139213,0.0933706464724746,-0.515449009182357,0.0475606678437615,0.00588920252146623,-0.228084529348723,-0.421902533987071,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
"1002","t84m6",84,"Health","Stock","R","Soc_Spending","ologit","continuous","Yes","No",NA,NA,NA,NA,NA,"Health",NA,"Other","Other","w1996","w2006","Other",1e-05,-0.206,-0.269,-0.142,"Other","Other",NA,"Support","orig13","Low","Mid","Mid","Mid","Low","Immigrant, foreign-born","emplrate_ivC","socx_ivC",NA,NA,4,"1996 & 2006","13 Rich Democracies Only",-0.206,-0.269,-0.142,-0.431763352035427,4.5,-0.105699306802092,-0.10327704252805,0.303667483333333,8,"1",-0.206,NA,"1",NA,-1.30891089108911,-0.142,0,3,-0.206,-0.8668031618486,0.0323703729099887,-0.22851170973824,-0.168071275888018,-1.25425204841721,-0.427647472761866,0.0662564154545581,0.0460476777167181,0.390653202139213,0.0933706464724746,-0.515449009182357,0.0475606678437615,0.00588920252146623,-0.228084529348723,-0.421902533987071,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
"50","t104m2",104,"Scale","Flow","R","None","bayes","continuous","No","No","Jobs","Unemp","IncDiff","OldAge",NA,NA,"Scale","Other","Other","w1996","w2006","w2016",3e-05,-0.237137697404947,-0.34943610804383,-0.124839286766063,"Other","Other","mlm_any","Reject","orig13","Mid","Mid","High","High","Mid","Net Migration",NA,NA,NA,NA,4,"1996, 2006 & 2016","13 Rich Democracies Only",-0.237138,-0.349436,-0.124839,0.326130293730982,3.5,0.259064672300578,0.593181941020342,0.423471883333333,7,"1",-0.237138,NA,"1",NA,-1.3705702970297,-0.124839,0,4,-0.237138,0.874024941121831,-0.848666733248838,0.939282863790146,1.48384620530938,-0.206193804124303,-0.427647472761866,0.0662564154545581,0.0460476777167181,0.390653202139213,0.0933706464724746,-0.515449009182357,0.0475606678437615,0.00588920252146623,-0.228084529348723,-0.421902533987071,1,1,1,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
"972","t7m8",7,"IncDiff","Flow","Stata","Unemp_Rate","ml_glm","continuous","Yes","No",NA,NA,"IncDiff",NA,NA,NA,NA,"w1985","w1990","w1996","w2006","w2016",1e-05,-0.101398342784625,-0.145996376977634,-0.0568003085916152,"Other","Other","mlm_any","Support","Other","Mid","Mid","Mid","Mid","High","Net Migration",NA,NA,"unemprate_ivC",NA,4,"Other","Other",-0.101398,-0.145996,-0.0568,0.200064449161058,4,-0.106016345388718,0.0416933496085964,0.55413203,20,"1",-0.101398,NA,"1",NA,-1.10177821782178,-0.0568,0,5,-0.101398,0.584460612039613,-0.408148180169424,-0.229526711115218,0.175781170104486,0.936831359513429,0.193526556655557,0.144947336474727,0.0901299444646527,0.236318814745556,0.00284390831274914,-0.515449009182357,0.0475606678437615,0.00588920252146623,-0.228084529348723,-0.421902533987071,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
"16","t101m23",101,"IncDiff","Flow","Stata","Unemp_Rate","logit","dichotomous","No","No",NA,NA,"IncDiff",NA,NA,NA,NA,"Other","Other","w1996","Other","Other",0.00011,-0.110960819951146,-0.167083224409506,-0.05483666380252,"Other","Other","mlm_any","Support","orig13","Low","High","Mid","Mid","Mid","Net Migration","emplrate_ivC",NA,"unemprate_ivC","gdp_ivC",3,"Other","13 Rich Democracies Only",-0.110961,-0.167083,-0.054837,-0.63574163951231,6,-0.118040177673038,0.0917163439174333,0.437261614,17,"1",-0.110961,NA,"1",NA,-1.12071485148515,-0.054837,0,6,-0.110961,-1.33532686199977,1.35392603214823,-0.268021098990869,0.294429734790369,-0.0855601636922404,0.157515255258455,0.0764222282179292,0.0494745531226549,0.372454868984822,0.0412418153077728,-0.515449009182357,0.0475606678437615,0.00588920252146623,-0.228084529348723,-0.421902533987071,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0
"67","t10m8",10,"Unemp","Flow","Stata","Soc_Spending","ml_glm","dichotomous","Yes","Yes",NA,"Unemp",NA,NA,NA,NA,NA,"Other","Other","w1996","w2006","w2016",1e-05,-0.0611585139754411,-0.0710030132749192,-0.0513157663662298,"Other","Other","mlm_any","Support","Other","High","Mid","High","High","Mid","Net Migration","emplrate_ivC","socx_ivC",NA,"gdp_ivC",1,"1996, 2006 & 2016","Other",-0.061159,-0.071003,-0.051316,0.391765407517353,4,0.696886381886239,0.8137910361956,0.354621026,40,"1",-0.061159,NA,"1",NA,-1.02209702970297,-0.051316,0,7,-0.061159,1.02478415550399,-0.408148180169424,2.34097230112119,2.00710461598336,-0.808506479241696,0.401529502667776,-0.0557333377058947,-0.0438302679011348,-0.0858011623490048,-0.0212115254646166,-0.515449009182357,0.0475606678437615,0.00588920252146623,-0.228084529348723,-0.421902533987071,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0
"1032","t86m33",86,"IncDiff","Stock","Stata","Soc_Spending","logit","dichotomous","Yes","No",NA,NA,"IncDiff",NA,NA,NA,NA,"Other","Other","w1996","w2006","w2016",1e-05,-0.06665,-0.08457,-0.04873,"Other","Other",NA,"Support","Other","Mid","High","High","Mid","Low","Muslim-country Immigrant",NA,"socx_ivC",NA,NA,3,"1996, 2006 & 2016","Other",-0.06665,-0.08457,-0.04873,0.212192617959643,5.5,0.0121719344736104,-0.0978912385625046,0.33212714,32,"1",-0.06665,NA,"1",NA,-1.0329702970297,-0.04873,0,8,-0.06665,0.612318158015996,0.913407479068815,0.148853939894824,-0.155296792492517,-1.0052847500605,0.2404101825855,-0.104679843603607,0.0271151470678826,0.0560927337391314,0.0934938161772538,-0.515449009182357,0.0475606678437615,0.00588920252146623,-0.228084529348723,-0.421902533987071,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"955","t75m7",75,"Jobs","Stock","Stata","Soc_Spending","logit","dichotomous","No","No","Jobs",NA,NA,NA,NA,NA,NA,"Other","Other","w1996","w2006","w2016",0.02758,-0.40104,-0.75,-0.04429,"Other","Other","mlm_any","Reject","Other","Mid","Mid","Mid","Mid","Mid","Immigrant, foreign-born","emplrate_ivC","socx_ivC",NA,NA,1,"1996, 2006 & 2016","Other",-0.40104,-0.75,-0.04429,0.137362732227885,3.33333333333333,-0.108185664129963,0.0867730506577218,0.48176039,3,"1",-0.40104,NA,"1",NA,-1.69512871287129,-0.04429,0,9,-0.40104,0.44043920276736,-0.995506250941978,-0.236471801089593,0.282704833908485,0.303718602761606,-0.427647472761866,0.0662564154545581,0.0460476777167181,0.390653202139213,0.0933706464724746,-0.515449009182357,0.0475606678437615,0.00588920252146623,-0.228084529348723,-0.421902533987071,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0
"1031","t86m32",86,"Unemp","Stock","Stata","Soc_Spending","logit","dichotomous","Yes","No",NA,"Unemp",NA,NA,NA,NA,NA,"Other","Other","w1996","w2006","w2016",1e-05,-0.05835,-0.076,-0.04069,"Other","Other",NA,"Support","Other","Mid","High","High","Mid","Low","Muslim-country Immigrant",NA,"socx_ivC",NA,NA,3,"1996, 2006 & 2016","Other",-0.05835,-0.076,-0.04069,0.212192617959643,5.5,0.0121719344736104,-0.0978912385625046,0.33212714,41,"1",-0.05835,NA,"1",NA,-1.01653465346535,-0.04069,0,10,-0.05835,0.612318158015996,0.913407479068815,0.148853939894824,-0.155296792492517,-1.0052847500605,0.381852804188587,-0.0165761329877245,-0.0390083735520536,-0.120540482279831,0.0129763252189762,-0.515449009182357,0.0475606678437615,0.00588920252146623,-0.228084529348723,-0.421902533987071,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
