"V1","V2","V3","V4","V5","V6","V7","V8","df","logLik","AICc","delta","weight"
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,"countries_ChangeFlow",NA,NA,NA,NA,NA,4,1510.64846708893,-3013.2648828958,6.36083350117406,0.0399093624228994
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)","hybrid_mlm_level_cyear",NA,NA,NA,NA,NA,NA,4,1511.72794677401,-3015.42384226598,4.20187413099711,0.109005776747517
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,"Health_mlm_fe",NA,NA,NA,NA,4,1510.54192854221,-3013.05180580237,6.5739105945986,0.0360214205428583
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,"fbunempchange_ivC_education_iv",NA,NA,NA,NA,NA,4,1510.48501820463,-3012.9379851272,6.68773126977021,0.0340966171834461
"(Intercept)",NA,NA,NA,NA,"socult_ivC",NA,NA,4,1523.83086865228,-3039.62968602251,0,1
"(Intercept)",NA,NA,NA,"mlm_re_L2boots","socult_ivC",NA,NA,5,1521.35437667413,-3032.66063787112,6.96904815138805,0.0297557897718963
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,NA,NA,"mlm_re_w1996",NA,4,1511.6530272404,-3015.27400319875,4.35171319822575,0.10193962256465
"(Intercept)",NA,NA,NA,"socult_ivC_education_iv",NA,NA,NA,4,1523.83086865228,-3039.62968602251,0,1
"(Intercept)","L2boots_w2016",NA,NA,"socult_ivC_education_iv",NA,NA,NA,5,1522.61407735471,-3035.18003923227,4.44964679023678,0.0975433822288523
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,"House_fract_ivC",NA,NA,NA,NA,4,1510.77051207158,-3013.50897286111,6.11674353586614,0.0448574133442198
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,"w1996_reldenom_iv",NA,NA,NA,4,1510.33876418582,-3012.6454770896,6.98023930737554,0.0295946676725986
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)","Flow_pop_ivC",NA,NA,NA,NA,NA,NA,4,1510.51322849169,-3012.99440570134,6.63131069563769,0.0350380063459585
"(Intercept)",NA,"House_orig13",NA,NA,NA,NA,NA,4,1517.36202052106,-3026.69198976006,0,1
"(Intercept)",NA,"House_orig13",NA,NA,"multimpute_emplrate_ivC",NA,NA,5,1516.16320729489,-3022.27829911264,4.41369064742048,0.0991374587953733
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,"fbunemprate_ivC_age2_iv",NA,NA,NA,NA,NA,4,1510.3635937403,-3012.69513619855,6.9305801984251,0.0303161328763213
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,"hybrid_mlm_allavailable",NA,NA,NA,NA,NA,4,1510.33876418582,-3012.6454770896,6.98023930737554,0.0295946676725986
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,NA,"pseudo_pnl_mmodel",NA,NA,4,1513.27398929892,-3018.51592731578,1.10978908119205,0.364729585474446
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,NA,NA,"w2006_efficacy_iv",NA,4,1510.27608714645,-3012.52012301084,7.10559338612939,0.0278467635519596
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)","ChangeFlow_eeurope",NA,NA,NA,NA,NA,NA,4,1511.28162794848,-3014.5312046149,5.09451178207428,0.0726110534822383
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,"House_trust_iv",NA,NA,NA,NA,4,1510.48221437842,-3012.93237747478,6.69333892218992,0.0340043963943913
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)","age2_iv_reldenom_iv",NA,NA,NA,NA,NA,NA,4,1510.33876418582,-3012.6454770896,6.98023930737554,0.0295946676725986
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,"ChangeFlow_urban_iv",NA,NA,NA,NA,NA,4,1510.76129739672,-3013.49054351139,6.13517288558569,0.0444642601817615
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,NA,NA,NA,"Unemp_level_cyear",4,1511.40214986596,-3014.77224844986,4.85346794711313,0.081156682783797
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,NA,NA,NA,"year_dummies_only_dichotomize",4,1512.42732480279,-3016.82259832353,2.80311807344424,0.197568832406118
